Underlord,3.085,48.0134,139940
Zeus,2.8087,46.6043,509468
Spectre,2.4841,45.6383,392532
Necrophos,2.3424,46.3879,1120502
Venomancer,1.854,51.7376,527509
Crystal Maiden,1.7264,48.6266,573505
Phantom Assassin,1.5219,49.1597,1386532
Sniper,1.5199,52.4344,1441174
Pugna,1.4662,56.7749,271849
Spirit Breaker,1.4001,46.188,781932
Lich,1.295,48.5257,337870
Axe,1.0662,50.1708,804977
Bloodseeker,1.0256,49.1646,1045814
Troll Warlord,0.9238,50.365,548901
Jakiro,0.8662,49.0814,294716
Viper,0.7139,51.7686,630704
Centaur Warrunner,0.6719,46.7083,217214
Tinker,0.5977,57.2824,459462
Techies,0.5738,55.4787,180058
Luna,0.4438,51.0475,433394
Drow Ranger,0.3977,51.0507,518224
Omniknight,0.3855,47.0842,246781
Riki,0.3702,46.6113,683797
Dragon Knight,0.2926,52.846,267214
Shadow Shaman,0.2548,47.8076,554284
Ancient Apparition,0.2528,49.8655,243882
Mirana,0.1784,51.3824,859329
Silencer,0.1768,48.4107,473064
Ogre Magi,0.1289,49.9585,449967
Elder Titan,-0.0392,50.867,98032
Earthshaker,-0.0476,51.1235,1035469
Sand King,-0.0733,53.7577,435383
Faceless Void,-0.0936,53.1555,584581
Sven,-0.1244,48.388,796651
Vengeful Spirit,-0.1272,49.0007,282614
Wraith King,-0.1456,44.2189,526494
Nyx Assassin,-0.2438,52.6498,336656
Abaddon,-0.2597,46.5057,163610
Skywrath Mage,-0.2736,50.797,322519
Treant Protector,-0.46,51.4968,162478
Shadow Fiend,-0.4802,54.975,817975
Brewmaster,-0.5106,51.3746,82823
Keeper of the Light,-0.5371,53.9724,292412
Warlock,-0.6111,48.6485,159458
Clockwerk,-0.6495,50.2376,260450
Enigma,-0.671,50.3541,272200
Winter Wyvern,-0.7408,52.1307,169497
Bounty Hunter,-0.774,52.7864,402185
Tidehunter,-0.782,50.8274,212887
Legion Commander,-0.8265,53.751,1052247
Phantom Lancer,-0.8637,49.7778,342271
Windranger,-0.8789,52.3696,721493
Slark,-0.9014,54.6059,647504
Timbersaw,-0.938,56.5022,307786
Night Stalker,-0.9499,51.8995,220476
Disruptor,-0.9675,51.9784,264519
Invoker,-0.9834,54.2971,1501502
Huskar,-1.0331,53.9992,398800
Clinkz,-1.1013,52.0601,373522
Witch Doctor,-1.106,51.0984,308616
Razor,-1.1214,55.6832,157771
Gyrocopter,-1.1762,55.3726,132141
Terrorblade,-1.1946,52.1045,179585
Medusa,-1.2065,55.992,206297
Leshrac,-1.2194,56.5078,87402
Ursa,-1.2384,46.4149,421804
Dark Seer,-1.3639,54.8091,108440
Chaos Knight,-1.3719,44.0569,347936
Lion,-1.4078,54.1922,501315
Outworld Devourer,-1.4157,53.5975,305359
Slardar,-1.4361,49.8197,436827
Dazzle,-1.4391,50.6567,236253
Kunkka,-1.4782,53.7313,566131
Templar Assassin,-1.5255,56.9134,263421
Phoenix,-1.5367,51.5707,152189
Tiny,-1.5638,55.6617,322534
Anti-Mage,-1.605,51.5001,919597
Bane,-1.6235,55.7551,120570
Lina,-1.6594,56.8974,453442
Bristleback,-1.6657,52.3104,557145
Enchantress,-1.794,58.108,141538
Monkey King,-1.8457,54.1268,727005
Undying,-1.8818,48.3789,156570
Naga Siren,-1.8875,57.9901,76682
Juggernaut,-1.9241,53.0222,883717
Weaver,-2.2194,48.5948,489696
Storm Spirit,-2.2409,52.8291,370129
Alchemist,-2.2439,57.8085,300717
Morphling,-2.3289,54.6099,274763
Doom,-2.3402,55.3142,179149
Ember Spirit,-2.3546,54.929,317107
Arc Warden,-2.3963,55.4992,122971
Shadow Demon,-2.5541,55.1216,109799
Visage,-2.616,49.7315,81948
Beastmaster,-2.622,56.4367,70463
Rubick,-2.6308,56.0529,613866
Nature's Prophet,-2.7588,58.6139,403327
Magnus,-2.8314,56.7285,341331
Lycan,-2.9584,52.1647,120340
Death Prophet,-3.0051,53.6845,171174
Puck,-3.126,58.8719,284137
Queen of Pain,-3.1578,56.8657,380732
Tusk,-3.2264,58.6931,185163
Batrider,-3.2558,58.1966,108178
Meepo,-3.4084,54.8479,204943
Lifestealer,-3.7692,52.685,392225
Broodmother,-3.7768,59.1634,112987
Earth Spirit,-3.9917,58.4587,180789
Chen,-4.1396,57.5161,48030
Oracle,-4.1638,59.2023,93079
Lone Druid,-4.9169,60.984,95561
Io,-6.2687,63.2254,88235
