Outworld Devourer,5.8202,55.9675,70900
Necrophos,4.3075,45.8622,230475
Timbersaw,3.7392,55.559,57870
Tidehunter,2.8622,50.4908,45537
Winter Wyvern,2.6865,51.2551,34258
Lich,2.5666,46.6615,69104
Underlord,2.442,44.5395,30712
Troll Warlord,2.4174,48.1561,102124
Axe,2.2872,47.7623,132324
Tinker,1.8053,52.8067,86845
Enchantress,1.7719,55.7921,31042
Leshrac,1.7458,54.1483,23142
Undying,1.5942,48.3942,32694
Skywrath Mage,1.5917,48.6937,80156
Jakiro,1.5523,46.4472,59995
Invoker,1.5257,51.4837,265684
Dazzle,1.428,49.4905,44950
Io,1.3916,62.957,18079
Lion,1.3468,51.854,93256
Venomancer,1.2508,47.2406,109863
Spectre,1.2027,42.1265,80683
Visage,1.1019,49.5717,18099
Terrorblade,1.0884,50.0671,38692
Warlock,1.0874,46.9277,34877
Shadow Demon,0.9947,53.3845,23282
Morphling,0.9789,52.732,58638
Crystal Maiden,0.9502,44.8582,103243
Dark Seer,0.8671,52.0013,23109
Omniknight,0.8659,44.674,49644
Dragon Knight,0.838,49.0435,52278
Shadow Shaman,0.8028,45.3311,103258
Disruptor,0.7366,49.3381,53713
Keeper of the Light,0.6966,50.3258,57849
Abaddon,0.6936,44.58,35978
Phoenix,0.6668,49.4827,31126
Slark,0.5827,50.9983,110180
Earth Spirit,0.5394,56.2153,33530
Slardar,0.5306,47.9439,74708
Chen,0.5189,56.1613,10436
Brewmaster,0.4983,48.3071,18430
Phantom Assassin,0.4904,44.9964,236390
Naga Siren,0.4669,54.7487,18110
Windranger,0.459,49.2096,130011
Sand King,0.4301,49.5245,81917
Sven,0.4025,45.6111,133531
Ancient Apparition,0.3745,46.3764,50793
Witch Doctor,0.2986,48.3708,58314
Elder Titan,0.289,47.2751,20588
Legion Commander,0.2623,49.9397,182618
Queen of Pain,0.2376,54.2356,69978
Lina,0.2345,52.9954,92908
Storm Spirit,0.215,50.5186,68353
Arc Warden,0.1807,52.7014,25745
Ogre Magi,0.1606,46.3546,83297
Treant Protector,0.1207,47.945,32823
Monkey King,0.1031,50.8824,123060
Batrider,0.0981,55.3836,22819
Broodmother,0.0933,56.9517,26310
Enigma,0.084,47.2549,47212
Earthshaker,0.0767,47.2587,183695
Magnus,0.0507,53.6143,60633
Bloodseeker,0.039,44.9406,185418
Rubick,-0.0167,52.2613,88754
Bane,-0.0409,52.0095,25951
Viper,-0.1024,46.9539,119270
Mirana,-0.1193,47.0675,146211
Vengeful Spirit,-0.1557,45.5361,54930
Templar Assassin,-0.1679,52.6204,48789
Zeus,-0.2219,41.2502,114838
Techies,-0.2927,49.4113,30240
Bounty Hunter,-0.3644,48.6872,76063
Death Prophet,-0.4256,51.3333,35587
Nature's Prophet,-0.4341,54.4177,75389
Wraith King,-0.451,41.7054,93441
Silencer,-0.5126,44.5084,100035
Faceless Void,-0.5476,48.1602,111181
Oracle,-0.5696,56.2897,20732
Kunkka,-0.7163,49.5176,100853
Centaur Warrunner,-0.7229,42.5161,45371
Shadow Fiend,-0.7304,49.5823,128822
Tusk,-0.7556,54.8035,36629
Lone Druid,-0.7681,58.1463,19831
Doom,-0.7725,51.5575,38489
Ursa,-0.7831,43.9428,80880
Beastmaster,-0.8661,52.7082,16191
Clockwerk,-0.8813,46.1731,51112
Juggernaut,-0.9233,49.2374,155916
Phantom Lancer,-0.9992,45.9008,68282
Puck,-0.9993,54.4052,52664
Riki,-1.0512,42.5436,119388
Luna,-1.0724,45.6697,83020
Clinkz,-1.131,47.7065,72512
Razor,-1.1389,50.5736,36175
Spirit Breaker,-1.1556,41.3389,131549
Alchemist,-1.1576,52.8986,55784
Night Stalker,-1.2091,47.348,45117
Gyrocopter,-1.2516,50.2158,29648
Lycan,-1.3605,49.2417,26309
Weaver,-1.3624,45.8389,92404
Drow Ranger,-1.3641,45.439,89093
Meepo,-1.3674,51.4023,34477
Tiny,-1.383,50.5116,64201
Nyx Assassin,-1.3887,47.1083,86473
Medusa,-1.4605,50.5279,46024
Chaos Knight,-1.48,41.5471,65138
Bristleback,-1.5437,47.9392,100498
Lifestealer,-1.7206,49.7296,65297
Ember Spirit,-1.9551,50.0261,61268
Sniper,-2.5628,44.6997,227384
Anti-Mage,-3.4611,45.514,160746
Pudge,-3.6043,43.225,271849
Huskar,-3.8973,46.3654,74754
