Shadow Demon,2.1893,50.5715,29833
Clockwerk,2.1452,45.0654,65811
Keeper of the Light,1.9791,47.5231,73177
Timbersaw,1.485,49.2773,74657
Brewmaster,1.4123,45.1014,24691
Lich,1.3821,41.2841,87261
Morphling,1.3233,49.0308,74082
Necrophos,1.3113,38.8742,274431
Phoenix,1.3094,46.0204,39339
Ancient Apparition,1.3077,43.1604,59960
Storm Spirit,1.2967,47.5041,101086
Bounty Hunter,1.2942,46.2151,106848
Tinker,1.158,48.1183,112188
Batrider,1.1078,52.449,30849
Lone Druid,1.1052,56.1808,26833
Pudge,1.097,43.1342,380732
Sniper,1.0863,43.7986,344440
Sand King,1.0442,46.0178,112213
Omniknight,1.0274,40.6065,66733
Slark,1.0148,47.3379,160252
Spectre,0.9839,37.6206,105559
Slardar,0.9669,44.2193,112028
Beastmaster,0.9222,50.5209,21019
Phantom Assassin,0.9211,41.1954,327917
Jakiro,0.8563,41.5598,75253
Undying,0.8221,43.4512,41573
Invoker,0.7929,46.7492,379424
Windranger,0.7913,45.4096,182426
Winter Wyvern,0.7552,45.1827,43718
Dark Seer,0.7481,47.8083,30639
Rubick,0.7006,48.9215,126292
Doom,0.6848,48.9863,50114
Elder Titan,0.6751,43.51,26541
Phantom Lancer,0.6739,43.3932,99119
Broodmother,0.6704,53.5984,34848
Outworld Devourer,0.6592,46.7524,77059
Juggernaut,0.6492,46.6286,217092
Mirana,0.6343,43.6128,208269
Monkey King,0.6341,47.3204,172564
Nature's Prophet,0.6066,51.4685,99245
Enigma,0.585,43.6011,65512
Terrorblade,0.5573,45.412,53444
Venomancer,0.5411,42.3606,139599
Crystal Maiden,0.539,40.2364,135954
Leshrac,0.5357,48.8188,25314
Ogre Magi,0.4213,42.434,110793
Lifestealer,0.3845,47.7606,90296
Dazzle,0.3704,44.2958,59764
Razor,0.3465,48.0184,49785
Visage,0.3308,44.6413,22907
Tusk,0.3222,51.9336,50940
Underlord,0.3222,38.1153,39126
Ursa,0.3055,40.8168,106586
Arc Warden,0.3039,48.7827,34381
Troll Warlord,0.303,41.936,139441
Gyrocopter,0.2836,47.7091,40313
Zeus,0.2625,37.4447,130654
Shadow Fiend,0.2561,46.3947,214772
Magnus,0.2383,49.7931,87269
Vengeful Spirit,0.2379,41.7252,76407
Bloodseeker,0.1796,40.8765,271860
Chaos Knight,0.1778,38.933,94570
Night Stalker,0.1698,44.5932,63189
Spirit Breaker,0.1401,38.3171,188169
Warlock,0.1173,41.7606,43881
Chen,0.0628,51.6929,13172
Weaver,0.049,43.0519,129490
Alchemist,-0.0066,50.0468,76834
Axe,-0.0212,41.4024,186972
Shadow Shaman,-0.0287,40.3063,135480
Clinkz,-0.0373,44.6636,102645
Naga Siren,-0.0611,50.208,24753
Disruptor,-0.1204,44.3273,74710
Tidehunter,-0.1322,43.3257,59542
Pugna,-0.1374,45.7643,69978
Io,-0.1598,57.4856,22797
Centaur Warrunner,-0.1915,38.7863,61086
Skywrath Mage,-0.1982,42.7686,83650
Lycan,-0.2294,46.3013,36392
Nyx Assassin,-0.2357,44.1122,96404
Bristleback,-0.2835,45.0649,134213
Lion,-0.2969,46.168,125002
Sven,-0.3024,40.764,194740
Tiny,-0.3344,47.4954,88238
Anti-Mage,-0.3543,44.2783,240185
Earthshaker,-0.3662,42.6917,252351
Luna,-0.3664,42.1912,114398
Earth Spirit,-0.3677,51.3248,45855
Bane,-0.3849,47.5934,33721
Silencer,-0.4572,40.3211,133213
Kunkka,-0.4708,45.6565,139325
Dragon Knight,-0.5112,43.5622,72432
Abaddon,-0.5853,39.0422,46798
Enchantress,-0.6452,49.3099,39708
Death Prophet,-0.6856,47.0053,48537
Witch Doctor,-0.6988,43.2334,75740
Lina,-0.7302,48.0114,121192
Ember Spirit,-0.7419,47.1701,86188
Drow Ranger,-0.7533,41.8556,131533
Viper,-0.7779,42.1419,171843
Techies,-0.8095,44.7785,41741
Faceless Void,-0.8635,43.7155,150617
Treant Protector,-0.9179,42.7289,43914
Legion Commander,-0.9638,44.7151,247205
Templar Assassin,-1.0935,47.6566,72632
Riki,-1.1154,38.2391,170451
Oracle,-1.3168,51.5301,25618
Wraith King,-1.3492,36.5658,131932
Medusa,-1.5826,46.335,61187
Puck,-2.0819,49.3742,97488
Huskar,-2.2774,43.8508,103973
Meepo,-3.1524,45.5406,53539
