Enigma,1.7798,55.8163,104507
Storm Spirit,1.5545,59.0315,164651
Slark,1.4267,59.0038,295269
Huskar,1.3996,58.843,217300
Weaver,1.3566,55.3815,241445
Medusa,1.2546,60.637,111671
Undying,1.2492,54.8865,68904
Faceless Void,1.2099,56.8738,254465
Wraith King,1.1848,49.644,267887
Ursa,1.1683,52.4833,209880
Anti-Mage,0.9903,56.6357,430613
Witch Doctor,0.9427,55.9403,128435
Lifestealer,0.9294,59.6251,165046
Ancient Apparition,0.886,53.6477,98951
Legion Commander,0.7494,57.5272,529617
Meepo,0.642,60.8439,90788
Arc Warden,0.6345,60.5016,56458
Clockwerk,0.5684,54.4497,100544
Lich,0.5606,51.2346,146838
Drow Ranger,0.5164,54.0905,260517
Chaos Knight,0.4825,49.8982,176335
Abaddon,0.4057,50.8298,79711
Phantom Lancer,0.4046,54.0972,188712
Pudge,0.3855,53.3886,683797
Pugna,0.3673,57.4563,119388
Shadow Shaman,0.3288,51.4428,235430
Invoker,0.3224,57.5344,604674
Warlock,0.273,52.8174,72620
Juggernaut,0.264,57.4333,397983
Queen of Pain,0.2599,61.7608,170451
Nyx Assassin,0.2179,55.6794,163448
Shadow Demon,0.1882,59.8062,47582
Spirit Breaker,0.1177,48.8935,375405
Kunkka,0.0421,57.3288,224250
Ember Spirit,0.0261,59.2775,144559
Monkey King,-0.0103,57.9457,313260
Clinkz,-0.0209,55.8505,213577
Skywrath Mage,-0.0212,53.9376,144209
Crystal Maiden,-0.032,50.4003,233784
Gyrocopter,-0.0335,58.7273,71316
Centaur Warrunner,-0.0632,49.6342,100604
Viper,-0.0863,53.768,319463
Windranger,-0.1139,55.6282,323749
Puck,-0.1152,62.8693,121595
Luna,-0.1788,53.3121,216204
Rubick,-0.1878,59.2322,166580
Earthshaker,-0.2567,53.7082,399523
Dazzle,-0.2633,54.6485,98019
Jakiro,-0.3014,51.1956,124532
Magnus,-0.3802,60.4969,133043
Phoenix,-0.3877,55.3463,63408
Sven,-0.4048,51.4535,380390
Mirana,-0.4224,53.5564,335541
Sand King,-0.4333,55.6416,184202
Vengeful Spirit,-0.4451,51.8978,130333
Lina,-0.481,59.649,208077
Elder Titan,-0.5037,53.2451,43927
Axe,-0.5225,51.7333,363294
Morphling,-0.5307,58.4185,122824
Brewmaster,-0.5335,54.1068,41041
Winter Wyvern,-0.545,54.865,70369
Tusk,-0.5461,62.5847,84046
Templar Assassin,-0.5669,59.5966,129061
Terrorblade,-0.5684,55.3696,92836
Leshrac,-0.5865,59.0263,43977
Keeper of the Light,-0.7284,55.8986,120239
Silencer,-0.7436,50.8526,199075
Treant Protector,-0.7751,53.8926,76838
Zeus,-0.7761,46.8576,283038
Death Prophet,-0.7929,58.2242,87941
Tinker,-0.841,57.3515,193571
Outworld Devourer,-0.844,56.3961,137105
Bane,-0.8813,58.3754,56325
Omniknight,-0.8868,49.3753,113664
Visage,-0.9091,54.4038,36797
Ogre Magi,-0.9237,51.9564,184880
Sniper,-0.9414,52.9492,707699
Lion,-0.9475,56.6842,210411
Dark Seer,-0.9602,57.2326,48392
Tidehunter,-1.0446,53.3571,96257
Bloodseeker,-1.0642,50.5244,557643
Night Stalker,-1.0737,54.385,105391
Doom,-1.1364,58.4777,87541
Dragon Knight,-1.1822,53.8923,136975
Shadow Fiend,-1.1863,56.2143,351510
Venomancer,-1.2684,51.4425,228070
Disruptor,-1.3027,54.1549,108426
Spectre,-1.3177,45.7963,184412
Troll Warlord,-1.3524,51.1249,266676
Underlord,-1.3532,47.001,64305
Batrider,-1.3595,61.3434,48160
Slardar,-1.4006,53.0552,349117
Necrophos,-1.4054,46.8632,451531
Lycan,-1.4322,56.2807,64745
Oracle,-1.5656,62.7564,39964
Enchantress,-1.6543,59.7779,72679
Beastmaster,-1.734,59.1349,34959
Tiny,-1.7786,57.3446,159987
Alchemist,-1.8269,59.6532,143801
Nature's Prophet,-1.9262,60.3996,172491
Timbersaw,-2.0523,56.9077,128197
Earth Spirit,-2.1963,60.8044,66061
Lone Druid,-2.5763,64.1895,47475
Phantom Assassin,-2.6412,48.6972,622086
Razor,-2.6709,56.2207,91838
Chen,-3.0596,60.0373,24115
Techies,-3.5006,53.1415,89764
Broodmother,-3.5598,60.8823,63396
Bounty Hunter,-3.5604,52.9042,406041
Naga Siren,-3.575,57.9707,42813
Io,-3.5949,65.7038,37564
Bristleback,-3.7541,52.6977,282240
