Underlord,2.8613,42.3566,3140
Wraith King,2.8602,42.6022,10929
Abaddon,2.4587,44.2082,3246
Beastmaster,2.4121,54.1644,1885
Enigma,2.407,46.9455,11786
Venomancer,2.1354,45.7873,13495
Omniknight,2.1293,43.2335,6414
Brewmaster,2.0306,47.3163,1919
Crystal Maiden,2.017,43.0917,15286
Jakiro,1.9615,44.5933,7315
Zeus,1.7589,40.9317,10818
Vengeful Spirit,1.5686,44.9992,6409
Sand King,1.5563,48.4714,11547
Luna,1.448,45.8763,10646
Nyx Assassin,1.3171,47.4722,9020
Ancient Apparition,1.2997,44.7549,6549
Ogre Magi,1.2578,45.0032,10777
Lich,1.2327,42.9204,9485
Morphling,1.2252,51.198,7262
Elder Titan,1.2156,45.9086,2322
Earthshaker,1.1798,45.8589,31876
Centaur Warrunner,1.1694,41.8398,4859
Magnus,1.157,52.8956,12674
Treant Protector,1.1539,46.78,3587
Shadow Shaman,1.1007,43.3297,13785
Bane,1.0957,50.4451,3370
Leshrac,0.8823,50.9852,2030
Doom,0.7415,51.0619,4614
Clockwerk,0.7205,45.2625,5636
Slardar,0.7075,45.9146,9167
Lion,0.697,48.9277,14736
Phoenix,0.6679,46.9746,3702
Dazzle,0.6483,46.2831,5771
Anti-Mage,0.6278,47.0059,21459
Sven,0.5698,43.6856,17571
Keeper of the Light,0.5594,47.9252,7760
Spirit Breaker,0.528,40.3234,15646
Bounty Hunter,0.5035,47.563,8084
Weaver,0.5002,45.274,10728
Troll Warlord,0.4527,43.6166,12094
Necrophos,0.4397,39.9163,26062
Kunkka,0.4073,48.2972,14858
Invoker,0.3934,48.3023,38052
Tidehunter,0.3655,45.4035,7310
Night Stalker,0.3288,46.6703,5361
Mirana,0.3075,45.05,18990
Shadow Fiend,0.3057,48.2424,17155
Storm Spirit,0.2883,48.3703,8836
Juggernaut,0.2813,48.1478,21839
Broodmother,0.2794,55.3948,2697
Techies,0.2488,47.7175,3286
Tiny,0.2222,49.7576,7428
Timbersaw,0.2182,49.9697,6610
Gyrocopter,0.1812,49.6576,3067
Io,0.1556,59.696,1908
Warlock,0.1325,43.5105,5247
Medusa,0.0703,49.5784,4982
Nature's Prophet,0.0456,52.9741,9112
Lina,0.0422,50.6221,11493
Riki,0.0361,41.1525,12546
Spectre,0.0063,38.5508,8874
Skywrath Mage,-0.0157,44.8334,7084
Pudge,-0.0285,44.0133,43639
Legion Commander,-0.0427,47.4393,19448
Ursa,-0.1187,41.9962,8446
Windranger,-0.133,46.2405,14989
Bloodseeker,-0.1482,42.4988,22210
Winter Wyvern,-0.172,45.978,4550
Faceless Void,-0.2442,46.0199,15452
Puck,-0.2494,52.9976,7506
Death Prophet,-0.2655,49.2392,4338
Witch Doctor,-0.2746,45.3511,7561
Outworld Devourer,-0.293,47.6306,7006
Dragon Knight,-0.3004,45.5543,5556
Queen of Pain,-0.3417,51.6041,9912
Phantom Lancer,-0.3435,44.4636,6945
Sniper,-0.3445,44.2823,25229
Lifestealer,-0.3602,48.9651,7634
Naga Siren,-0.3678,51.8727,1949
Slark,-0.3886,47.7099,13362
Disruptor,-0.4161,45.618,7953
Chaos Knight,-0.5407,40.3322,6682
Viper,-0.6978,44.12,12330
Alchemist,-0.698,50.9132,6570
Silencer,-0.7035,41.8161,11761
Visage,-0.7274,45.8578,1871
Shadow Demon,-0.7478,49.1761,2731
Ember Spirit,-0.7942,49.0687,7302
Batrider,-0.8902,52.3153,2829
Monkey King,-0.9013,47.6993,14713
Drow Ranger,-0.9113,43.5389,9534
Tinker,-0.9314,47.7606,10092
Huskar,-0.9371,46.9473,7338
Dark Seer,-1.0303,47.7441,2970
Undying,-1.1351,43.1975,3609
Lone Druid,-1.1924,55.2972,2237
Axe,-1.365,41.8787,14148
Clinkz,-1.3922,45.2367,7348
Terrorblade,-1.5065,45.3839,4376
Pugna,-1.5846,46.1489,6245
Phantom Assassin,-1.6323,40.5323,24119
Bristleback,-1.7154,45.5268,10563
Tusk,-1.7927,51.6488,4124
Razor,-1.8393,47.5341,3589
Lycan,-1.9336,46.4779,2896
Earth Spirit,-2.0818,51.8772,4368
Meepo,-2.3118,47.8583,4319
Oracle,-2.5497,51.817,2339
Templar Assassin,-2.8097,47.7158,5757
Enchantress,-2.8168,48.8108,2733
Arc Warden,-2.8863,47.6864,2896
Chen,-2.989,50.625,1120
