Phantom Lancer,4.5549,52.2621,119729
Chaos Knight,3.9846,47.6753,113245
Terrorblade,2.7906,52.7301,61572
Broodmother,2.4494,60.6193,42432
Slark,2.0806,53.4009,178274
Troll Warlord,2.07,48.6395,156303
Phantom Assassin,1.9824,47.0911,360059
Naga Siren,1.8003,57.2372,27994
Brewmaster,1.782,50.505,28514
Ursa,1.7092,47.171,119622
Legion Commander,1.6482,52.1584,272006
Meepo,1.6128,55.4581,55651
Nature's Prophet,1.5936,57.5457,113275
Luna,1.5829,49.1105,128447
Winter Wyvern,1.5684,51.0296,50112
Bane,1.5271,54.6301,37774
Beastmaster,1.517,56.2474,24538
Templar Assassin,1.4759,55.3211,80425
Shadow Demon,1.4179,54.8551,34252
Vengeful Spirit,1.3926,47.8781,86645
Visage,1.3824,50.7613,25482
Lycan,1.3152,52.943,41879
Abaddon,1.2,45.823,54717
Spirit Breaker,1.1522,44.2126,225225
Night Stalker,1.0644,50.5314,75450
Razor,1.0607,53.805,55335
Enchantress,1.0474,56.1129,42917
Lich,1.0041,45.8551,102296
Wraith King,0.941,43.7426,146612
Dragon Knight,0.9146,49.9987,82096
Omniknight,0.868,45.3967,77109
Outworld Devourer,0.8254,51.948,89293
Dazzle,0.8085,49.7436,67687
Ogre Magi,0.7492,47.7348,131799
Shadow Shaman,0.5861,45.872,153019
Chen,0.5752,57.3189,14606
Clinkz,0.53,50.236,109105
Drow Ranger,0.5189,48.0982,139240
Lone Druid,0.4723,60.6678,30156
Windranger,0.3864,50.0308,199195
Tusk,0.3495,57.0819,58854
Gyrocopter,0.225,52.7022,45296
Keeper of the Light,0.1674,50.7188,83679
Monkey King,0.1535,51.8833,193775
Axe,0.1477,46.5173,220262
Tinker,0.1092,52.1081,120626
Faceless Void,0.1032,49.6744,165103
Riki,0.0979,44.3583,184202
Skywrath Mage,0.095,48.0665,91419
Tiny,0.0903,52.9705,99191
Arc Warden,0.0559,53.5961,38583
Clockwerk,0.0277,47.9048,80449
Sven,0.0073,46.0107,215756
Death Prophet,0.0016,52.7464,52686
Invoker,-0.0665,51.0532,373189
Lion,-0.0739,51.4147,139567
Warlock,-0.1064,46.4943,52914
Weaver,-0.121,47.8752,142888
Storm Spirit,-0.1538,51.0907,108460
Viper,-0.1739,47.71,182867
Io,-0.1813,62.6487,26141
Slardar,-0.1936,48.0528,137611
Techies,-0.2233,50.3893,44307
Mirana,-0.2307,47.7865,232352
Oracle,-0.2396,57.7694,29159
Witch Doctor,-0.245,48.6857,89289
Lifestealer,-0.2479,52.16,105276
Bounty Hunter,-0.2526,49.6858,120811
Alchemist,-0.3093,54.8066,89095
Shadow Fiend,-0.3273,50.8869,211738
Medusa,-0.3316,52.6549,70434
Crystal Maiden,-0.3412,44.3163,157574
Treant Protector,-0.3544,48.3081,51010
Undying,-0.4061,47.1682,50358
Morphling,-0.417,52.3203,84449
Pugna,-0.4475,50.4754,81917
Doom,-0.4514,52.901,59685
Dark Seer,-0.4794,51.5981,35978
Centaur Warrunner,-0.5016,43.3855,74216
Necrophos,-0.533,42.1013,304990
Tidehunter,-0.5923,47.8439,74371
Leshrac,-0.6361,52.6699,28783
Ancient Apparition,-0.6397,46.1392,72758
Jakiro,-0.7329,44.8999,90263
Magnus,-0.7355,53.9044,104572
Juggernaut,-0.7398,50.3224,244223
Nyx Assassin,-0.7983,48.561,117277
Elder Titan,-0.889,46.868,32600
Huskar,-0.9084,50.2184,113552
Earthshaker,-0.9994,47.0907,325429
Pudge,-1.0383,46.2422,435383
Underlord,-1.0389,41.5979,47774
Lina,-1.0408,52.7561,132030
Queen of Pain,-1.0899,53.9821,112213
Kunkka,-1.0971,50.0681,163505
Bristleback,-1.1258,49.2295,152179
Silencer,-1.127,44.6348,150024
Bloodseeker,-1.2023,44.5494,291943
Anti-Mage,-1.2081,48.473,253617
Batrider,-1.2182,55.1488,34755
Spectre,-1.2455,40.2791,128759
Enigma,-1.2588,46.7135,74914
Rubick,-1.274,52.0356,147789
Puck,-1.3662,55.1494,83484
Earth Spirit,-1.4202,55.3731,53051
Disruptor,-1.4379,48.0139,83784
Venomancer,-1.466,45.3648,161892
Sniper,-1.5135,46.4379,346273
Timbersaw,-1.7301,51.0698,87958
Ember Spirit,-1.7691,51.1889,99916
Phoenix,-2.1621,47.4544,48006
Zeus,-2.79,39.3511,147180
