Ancient Apparition,4.7781,48.729,1613
Techies,4.2494,51.9209,911
Viper,3.3444,48.3535,3553
Brewmaster,3.338,48.9361,611
Silencer,3.1537,46.2007,2790
Winter Wyvern,2.4375,48.9379,1177
Broodmother,2.3484,57.1942,834
Wraith King,2.3038,42.6998,2815
Skywrath Mage,2.3002,47.5409,1830
Tiny,2.2453,51.8041,1940
Crystal Maiden,2.1823,43.9759,3320
Arc Warden,2.133,52.8117,818
Dazzle,1.8875,47.8609,1496
Luna,1.707,46.5287,2852
Shadow Shaman,1.4285,44.2913,3048
Pudge,1.3385,45.6586,8062
Gyrocopter,1.3156,50.8717,975
Lifestealer,1.2926,50.6829,2123
Enigma,1.1741,46.3287,1539
Witch Doctor,1.0701,47.0782,1814
Jakiro,1.0681,44.2864,1829
Lion,1.0388,49.4198,3189
Shadow Fiend,1.0222,49.0999,4222
Oracle,0.9807,55.1622,678
Ogre Magi,0.8986,45.142,2676
Mirana,0.8799,46.0372,4290
Clinkz,0.8536,47.7313,2204
Rubick,0.8153,50.8238,2731
Legion Commander,0.7867,48.3737,6026
Invoker,0.7758,48.9166,7523
Necrophos,0.7582,41.0956,6772
Doom,0.5936,50.8787,1138
Lich,0.5863,43.0221,2078
Drow Ranger,0.5573,45.3947,2736
Anti-Mage,0.5563,47.2106,6005
Dragon Knight,0.5394,46.7109,1657
Bristleback,0.5206,47.9408,3181
Huskar,0.5068,48.5639,2298
Windranger,0.4998,47.1492,3771
Faceless Void,0.4646,47.0396,3682
Omniknight,0.4422,42.2544,1588
Enchantress,0.4421,52.1218,919
Templar Assassin,0.3815,50.9661,1656
Vengeful Spirit,0.273,44.2016,1785
Clockwerk,0.2416,45.2301,1499
Monkey King,0.214,48.9373,3623
Lina,0.1687,50.739,2706
Juggernaut,0.1567,48.2556,4787
Spectre,0.1204,39.5445,2415
Visage,0.0868,47.0037,534
Axe,0.0755,43.7695,4149
Ursa,0.0732,42.7547,2650
Disruptor,0.062,46.5,1800
Phoenix,0.0093,46.6315,950
Earth Spirit,-0.0118,53.6851,1099
Batrider,-0.0332,53.0035,849
Death Prophet,-0.1377,49.4614,1114
Magnus,-0.1602,51.3554,1992
Spirit Breaker,-0.1976,40.3889,3959
Kunkka,-0.203,47.8903,4124
Slark,-0.3179,47.9765,3410
Terrorblade,-0.3344,46.8675,1261
Warlock,-0.3601,43.7104,1105
Outworld Devourer,-0.4407,47.6956,1866
Venomancer,-0.4879,43.7698,3146
Phantom Assassin,-0.5154,42.1411,6445
Bloodseeker,-0.5403,42.707,5519
Night Stalker,-0.5823,46.0667,1589
Abaddon,-0.5838,41.6744,1075
Sven,-0.5955,43.1114,4326
Keeper of the Light,-0.6886,46.9287,2035
Earthshaker,-0.6903,44.6625,6061
Storm Spirit,-0.7085,47.581,2253
Io,-0.7565,58.2181,651
Treant Protector,-0.9486,45.0095,1042
Chen,-0.996,52.5821,426
Medusa,-1.1053,48.5038,1437
Slardar,-1.1148,44.5182,2408
Sand King,-1.1415,46.1071,2633
Nature's Prophet,-1.2054,51.5854,2586
Nyx Assassin,-1.256,45.2673,2282
Troll Warlord,-1.263,42.4933,3377
Tidehunter,-1.2734,44.2932,1323
Dark Seer,-1.3065,47.6433,785
Razor,-1.3502,48.1842,1129
Zeus,-1.3699,38.6902,2489
Lycan,-1.4192,47.2193,953
Bounty Hunter,-1.5079,45.8464,2227
Tinker,-1.51,47.3832,2484
Bane,-1.5298,47.8678,938
Alchemist,-1.7106,49.8952,1910
Morphling,-1.8344,48.1876,1876
Riki,-1.8645,39.983,3549
Undying,-2.0502,42.7898,1061
Pugna,-2.0871,45.9332,1709
Puck,-2.0904,50.962,1819
Leshrac,-2.113,48.0055,727
Timbersaw,-2.2239,47.6404,1780
Sniper,-2.2714,42.985,6479
Centaur Warrunner,-2.314,39.0681,1395
Meepo,-2.5137,47.7836,1128
Elder Titan,-2.7055,42.3753,682
Chaos Knight,-2.7644,38.8059,1876
Queen of Pain,-2.8884,49.0311,2374
Naga Siren,-2.8917,49.2682,615
Tusk,-3.0899,50.2343,1280
Beastmaster,-3.2412,48.2993,588
Ember Spirit,-3.4106,46.6,2000
Underlord,-3.6698,36.5509,922
Weaver,-3.7378,41.6144,2874
Phantom Lancer,-3.7537,41.5354,2032
Lone Druid,-4.9038,51.2534,718
