Silencer,2.1838,46.4301,221871
Death Prophet,1.862,53.6459,91813
Meepo,1.8485,54.874,110504
Omniknight,1.7732,44.6836,126657
Phantom Assassin,1.7284,45.247,710026
Phantom Lancer,1.6127,47.9113,191268
Razor,1.5737,53.2861,90866
Centaur Warrunner,1.4517,43.7364,112380
Spectre,1.441,41.0975,204046
Weaver,1.3603,47.934,253490
Underlord,1.3323,42.334,71472
Riki,1.2972,43.7856,351510
Drow Ranger,1.2728,47.386,265517
Warlock,1.1935,46.3491,81926
Undying,1.1186,47.329,75704
Bloodseeker,1.0825,45.0725,524304
Chaos Knight,1.0788,43.031,186770
Leshrac,0.9003,53.2231,45871
Broodmother,0.8689,58.2115,64233
Anti-Mage,0.7268,48.9867,482075
Storm Spirit,0.7117,50.7965,194956
Pugna,0.686,50.4176,128822
Bristleback,0.6426,49.7202,289172
Outworld Devourer,0.6372,50.5738,157878
Necrophos,0.6156,41.2789,538282
Sniper,0.6072,46.8751,765259
Nature's Prophet,0.5988,55.7451,194625
Jakiro,0.5882,44.646,144593
Treant Protector,0.5827,47.8985,82038
Juggernaut,0.5727,50.3675,460803
Slark,0.5396,50.7338,335537
Tidehunter,0.5283,47.6061,111681
Visage,0.4769,48.4826,41025
Abaddon,0.4648,43.4106,86048
Naga Siren,0.4291,54.8947,45110
Viper,0.4164,46.8234,343358
Crystal Maiden,0.4121,43.3405,272844
Sand King,0.3977,49.113,211738
Legion Commander,0.3807,49.7295,519934
Venomancer,0.3728,45.6634,251109
Clinkz,0.325,48.7192,203197
Luna,0.3213,46.3548,235889
Skywrath Mage,0.3009,46.8272,156394
Gyrocopter,0.2805,51.6453,74299
Vengeful Spirit,0.2798,45.1861,144573
Timbersaw,0.2775,52.0415,151602
Troll Warlord,0.2597,45.2899,288053
Enigma,0.2561,46.8022,130842
Ancient Apparition,0.2413,45.5442,110431
Elder Titan,0.2105,46.57,49738
Huskar,0.2088,50.136,211028
Alchemist,0.1886,54.4713,165230
Sven,0.1767,44.5448,424031
Nyx Assassin,0.123,48.1611,161348
Dragon Knight,0.122,47.8241,146679
Beastmaster,0.1045,53.7519,37154
Enchantress,0.1002,54.2248,74014
Mirana,0.0754,46.6015,416754
Brewmaster,0.0711,47.3316,44279
Tiny,0.0594,51.8745,173135
Earthshaker,0.0588,46.6195,488868
Lycan,0.0583,50.4465,66617
Disruptor,0.0416,48.1899,125300
Witch Doctor,0.0,47.5496,149814
Dazzle,-0.007,47.5237,117171
Shadow Shaman,-0.0231,43.6103,258698
Lifestealer,-0.0444,51.2498,180859
Keeper of the Light,-0.131,49.1475,138013
Wraith King,-0.1517,40.7579,279062
Invoker,-0.1555,49.6874,907332
Puck,-0.1597,55.6373,147428
Ember Spirit,-0.1697,51.7529,173393
Kunkka,-0.1922,49.7435,265731
Lich,-0.209,42.9605,163124
Axe,-0.2441,44.5467,392637
Faceless Void,-0.2798,47.9546,281274
Doom,-0.3314,51.9178,89295
Lina,-0.34,52.4662,239760
Night Stalker,-0.3462,47.734,111145
Phoenix,-0.3609,47.9818,71998
Clockwerk,-0.4585,45.9311,123058
Windranger,-0.4603,47.8657,357170
Monkey King,-0.4696,50.1046,353101
Morphling,-0.4838,51.153,146478
Chen,-0.5015,55.3663,24486
Ogre Magi,-0.5043,44.9211,219734
Rubick,-0.6186,51.615,232444
Batrider,-0.6223,54.8724,54552
Lion,-0.634,49.6527,245783
Queen of Pain,-0.6342,53.6052,214772
Oracle,-0.6349,56.5638,46086
Spirit Breaker,-0.6537,40.6346,366416
Pudge,-0.6586,45.0249,817975
Slardar,-0.679,46.1004,221575
Terrorblade,-0.7083,47.7908,101578
Tusk,-0.7351,55.1216,95037
Magnus,-0.773,52.8961,170451
Techies,-0.7981,48.5151,85730
Dark Seer,-0.8062,50.0592,55682
Ursa,-0.8378,42.941,215656
Winter Wyvern,-0.8826,47.1132,88680
Bane,-0.9211,50.9598,60220
Zeus,-0.9301,39.2181,257233
Io,-0.9823,61.3922,42836
Lone Druid,-1.0347,58.5618,51636
Earth Spirit,-1.2687,54.683,84677
Medusa,-1.3179,50.5208,119505
Arc Warden,-1.4626,50.9211,63887
Bounty Hunter,-1.508,47.0574,213998
Shadow Demon,-1.6212,50.5724,55904
Tinker,-1.7768,49.0302,243519
Templar Assassin,-2.3825,50.3356,151962
