Anti-Mage,1.7704,56.0954,337678
Ursa,1.4952,51.6746,154596
Troll Warlord,0.9966,52.3271,204372
Huskar,0.9496,56.9267,145529
Crystal Maiden,0.9425,50.2816,225110
Templar Assassin,0.6718,59.4089,95871
Enigma,0.6648,53.4552,88113
Ancient Apparition,0.6143,52.1982,89229
Wraith King,0.6117,48.0496,195733
Storm Spirit,0.5942,56.7276,137850
Sven,0.5764,51.2707,287739
Treant Protector,0.5687,54.0764,61524
Centaur Warrunner,0.5601,49.2071,82114
Zeus,0.5304,47.2579,191866
Legion Commander,0.5183,55.925,345094
Juggernaut,0.4527,56.2949,312440
Axe,0.4453,51.5287,273164
Bloodseeker,0.444,50.7866,376784
Weaver,0.4389,53.2089,181009
Shadow Fiend,0.3594,56.3896,258698
Outworld Devourer,0.3526,56.3188,107552
Pudge,0.347,52.1923,554284
Faceless Void,0.222,54.6034,199590
Nyx Assassin,0.133,54.3356,133971
Skywrath Mage,0.1017,52.8629,120033
Viper,0.094,52.7423,254177
Phoenix,0.0803,54.6203,56078
Lifestealer,0.0711,57.3731,132081
Keeper of the Light,0.0413,55.463,107358
Necrophos,0.0362,47.2515,372904
Invoker,0.0228,55.9532,479967
Monkey King,0.0011,56.5957,238608
Slardar,-0.0208,53.0031,144284
Ogre Magi,-0.0514,51.7056,176354
Earthshaker,-0.0604,52.7347,360309
Spirit Breaker,-0.0673,47.6939,295002
Vengeful Spirit,-0.0718,51.137,106420
Brewmaster,-0.1028,53.3412,32817
Lycan,-0.1157,56.2982,47378
Slark,-0.1661,56.0646,228850
Windranger,-0.1819,54.3047,265767
Jakiro,-0.2229,50.1429,121341
Venomancer,-0.2355,51.345,194646
Clockwerk,-0.2364,52.4383,94326
Enchantress,-0.2709,59.7102,53984
Bounty Hunter,-0.2798,54.4695,144130
Lich,-0.3202,49.2014,143508
Queen of Pain,-0.3286,59.6936,135480
Underlord,-0.3353,47.0231,55445
Doom,-0.3382,57.8953,67014
Dazzle,-0.377,53.3432,90197
Riki,-0.3808,48.5571,235430
Lion,-0.393,56.0449,212162
Tiny,-0.4105,57.3388,117737
Tinker,-0.4123,56.4579,154678
Puck,-0.4339,61.0889,101313
Dragon Knight,-0.4385,53.4216,105199
Bane,-0.4658,57.4896,47579
Elder Titan,-0.4729,52.0909,35845
Undying,-0.4784,51.8746,56492
Leshrac,-0.5003,57.6917,33549
Disruptor,-0.5206,53.8031,107793
Mirana,-0.5664,52.2303,274532
Tusk,-0.5743,61.0656,67131
Ember Spirit,-0.6053,57.2615,117805
Omniknight,-0.6362,48.5544,94632
Medusa,-0.6514,57.1839,81014
Death Prophet,-0.6527,56.9972,70056
Timbersaw,-0.6529,57.0231,102553
Beastmaster,-0.6929,58.8105,27223
Sand King,-0.6938,54.1279,153019
Techies,-0.694,54.7357,58143
Magnus,-0.7124,58.8141,114243
Abaddon,-0.765,48.5084,64263
Lina,-0.8016,57.9172,166213
Clinkz,-0.8134,53.7013,148458
Gyrocopter,-0.8162,56.4566,50382
Phantom Assassin,-0.8184,49.2645,470190
Alchemist,-0.8487,59.1558,104441
Morphling,-0.8494,56.7759,104243
Night Stalker,-0.9116,53.3183,85267
Rubick,-0.9198,57.3662,191597
Luna,-0.9391,51.3478,164301
Kunkka,-0.9645,55.0423,191071
Witch Doctor,-0.9753,52.7687,124314
Winter Wyvern,-1.0614,53.1354,64855
Razor,-1.0638,56.4732,64388
Pugna,-1.0999,54.6688,103258
Drow Ranger,-1.1121,51.2237,180145
Spectre,-1.1339,45.0325,145648
Warlock,-1.274,50.0353,66483
Dark Seer,-1.2889,55.6358,43188
Bristleback,-1.328,53.8479,206199
Batrider,-1.3513,59.9556,40600
Silencer,-1.391,49.0908,184175
Chaos Knight,-1.4256,46.9125,128910
Lone Druid,-1.4397,63.6679,35104
Oracle,-1.4549,61.5521,36413
Tidehunter,-1.4752,51.732,85937
Terrorblade,-1.519,53.0947,68713
Shadow Demon,-1.5623,56.6618,41700
Chen,-1.5731,60.0382,17787
Naga Siren,-1.597,58.55,30567
Sniper,-1.6606,51.0579,480286
Earth Spirit,-1.7007,60.0926,63928
Nature's Prophet,-1.8658,59.0567,145196
Io,-2.4401,65.4134,32024
Arc Warden,-2.5397,55.7971,46997
Broodmother,-2.7302,60.1483,46776
Phantom Lancer,-2.7396,49.6787,131829
Visage,-2.9168,51.0765,33207
Meepo,-4.0976,54.4397,66501
