Timbersaw,3.0702,57.8114,65788
Necrophos,2.9283,47.4313,235861
Morphling,1.9851,56.6528,64228
Storm Spirit,1.5351,54.7252,85520
Ancient Apparition,1.3753,50.2524,53478
Axe,1.2862,49.6526,155909
Underlord,1.2757,46.1944,33123
Faceless Void,1.228,52.7544,123783
Troll Warlord,1.1315,49.7567,121063
Invoker,1.0494,53.971,293830
Monkey King,0.8764,54.5107,144168
Enigma,0.8042,50.8359,53411
Slardar,0.679,50.9452,85535
Phoenix,0.6672,52.3707,34926
Elder Titan,0.6589,50.521,22549
Lich,0.6417,47.589,79430
Outworld Devourer,0.6197,53.6802,64370
Brewmaster,0.611,51.2975,21849
Tinker,0.6011,54.525,92983
Ember Spirit,0.5515,55.4286,71113
Winter Wyvern,0.524,51.9449,38845
Zeus,0.5123,44.7802,109374
Venomancer,0.4919,49.3655,113399
Terrorblade,0.4846,52.3359,43515
Doom,0.4534,55.7099,42759
Crystal Maiden,0.4497,47.2012,122643
Legion Commander,0.4481,52.9868,211558
Earthshaker,0.4395,50.4469,200464
Slark,0.4301,53.7313,135100
Techies,0.3922,52.9887,35834
Alchemist,0.3618,57.3321,65145
Bounty Hunter,0.3069,52.223,90303
Queen of Pain,0.3026,57.2313,83650
Windranger,0.2967,51.9258,166002
Jakiro,0.2704,48.0166,65546
Undying,0.2672,49.9136,35896
Dark Seer,0.1769,54.2038,26476
Witch Doctor,0.1702,51.1145,69579
Bloodseeker,0.1582,47.8824,218460
Clockwerk,0.0737,50.0,55318
Magnus,0.0493,56.5262,68324
Omniknight,0.0302,46.6566,59835
Sniper,0.0281,49.8511,278192
Lion,0.024,53.4561,107286
Shadow Fiend,0.0236,53.1727,156394
Pudge,0.0212,49.2029,322519
Leshrac,0.0183,55.2616,22417
Mirana,-0.0089,50.0258,160699
Disruptor,-0.0136,51.4687,63215
Vengeful Spirit,-0.0319,48.5007,66133
Weaver,-0.0379,49.9841,110501
Sand King,-0.0467,51.9334,91419
Phantom Assassin,-0.0696,47.3323,278932
Chen,-0.093,58.4652,11494
Dragon Knight,-0.1043,50.9655,61155
Luna,-0.118,49.4537,96108
Tiny,-0.1642,54.6266,75033
Kunkka,-0.1796,52.9244,113972
Sven,-0.1947,47.8779,160525
Shadow Shaman,-0.2556,47.137,120033
Juggernaut,-0.2593,52.7324,181359
Lina,-0.3014,55.3858,100941
Drow Ranger,-0.3068,49.3151,110019
Riki,-0.3209,46.0623,144209
Enchantress,-0.3269,56.6147,37220
Treant Protector,-0.3365,50.3493,38074
Ursa,-0.3423,47.2045,94601
Gyrocopter,-0.3591,54.025,34136
Dazzle,-0.381,50.5415,55301
Earth Spirit,-0.3997,58.1911,36454
Night Stalker,-0.4219,51.0111,51873
Spectre,-0.4847,43.2734,85831
Keeper of the Light,-0.5076,52.0051,61642
Ogre Magi,-0.5646,48.4896,96928
Nyx Assassin,-0.5832,50.7934,89167
Naga Siren,-0.6079,56.5741,20497
Rubick,-0.6781,54.5178,98056
Lifestealer,-0.7811,53.5576,80967
Bane,-0.8866,54.0687,30685
Centaur Warrunner,-0.9006,45.1602,50932
Silencer,-0.9042,46.9655,117007
Clinkz,-0.9577,50.744,89242
Lone Druid,-0.9746,60.9036,22598
Batrider,-1.0373,57.1468,24948
Warlock,-1.0596,47.6021,39139
Death Prophet,-1.0654,53.587,41232
Beastmaster,-1.1245,55.3608,18094
Tusk,-1.1589,57.3387,42657
Anti-Mage,-1.1626,50.5158,205589
Io,-1.2051,63.2767,20020
Arc Warden,-1.3443,54.06,29384
Tidehunter,-1.3552,49.1111,49838
Puck,-1.3624,56.9892,62968
Spirit Breaker,-1.3731,43.9477,161874
Viper,-1.4373,48.5257,145086
Medusa,-1.5409,53.3404,51235
Abaddon,-1.5703,45.1181,40261
Pugna,-1.6096,51.3062,80156
Bristleback,-1.6214,50.73,119026
Nature's Prophet,-1.6433,56.1583,88197
Templar Assassin,-1.7541,53.9497,61611
Shadow Demon,-1.9695,53.266,26255
Phantom Lancer,-1.9965,47.7555,80020
Visage,-2.0035,49.2625,20545
Wraith King,-2.0097,42.9914,115430
Razor,-2.1193,52.481,42301
Meepo,-2.2655,53.3914,40351
Huskar,-2.343,50.7688,91629
Oracle,-2.5338,57.2353,23489
Lycan,-2.7761,50.6839,30410
Chaos Knight,-3.1486,42.6945,77832
Broodmother,-3.2494,56.5104,31150
