Lycan,3.1901,56.5544,3059
Anti-Mage,2.3211,53.3901,19350
Visage,2.2628,53.7634,1581
Broodmother,2.1349,62.2021,3106
Bristleback,2.107,54.0408,14972
Clinkz,2.0121,53.4404,11263
Legion Commander,1.7961,53.9165,20222
Treant Protector,1.7248,52.1806,3875
Weaver,1.694,51.2389,13197
Monkey King,1.5076,54.8315,13029
Vengeful Spirit,1.5022,49.7467,6121
Templar Assassin,1.4757,56.9035,6446
Earth Spirit,1.313,60.0638,3443
Kunkka,1.2812,53.9724,11265
Doom,1.1942,56.2464,3506
Medusa,1.1387,55.4716,5300
Night Stalker,1.1302,52.2835,5474
Spectre,1.118,44.4822,9107
Bane,1.0707,55.1526,2620
Pudge,1.0611,49.7762,30386
Leshrac,1.0535,55.9339,1938
Ursa,0.9824,47.8676,8793
Bounty Hunter,0.9183,52.798,12741
Riki,0.9165,46.7258,26022
Tiny,0.9033,55.2326,7329
Troll Warlord,0.893,48.8364,11946
Storm Spirit,0.7818,53.6562,8424
Shadow Demon,0.7326,55.4817,2408
Shadow Fiend,0.7256,53.4304,15858
Nyx Assassin,0.6913,51.6694,8835
Sand King,0.607,52.3495,10151
Axe,0.6064,48.5569,17394
Huskar,0.5646,53.2102,8504
Death Prophet,0.4508,54.7417,3891
Warlock,0.4455,48.8332,3514
Alchemist,0.4182,56.8564,7482
Invoker,0.411,53.1671,29569
Mirana,0.3875,49.9686,17517
Bloodseeker,0.3442,47.7608,20276
Chen,0.3427,58.7802,951
Io,0.3424,64.6153,1820
Centaur Warrunner,0.271,45.6842,5422
Undying,0.1989,49.3936,3381
Nature's Prophet,0.1656,57.8278,8259
Ancient Apparition,0.085,48.4212,4814
Windranger,0.0619,51.2155,13574
Drow Ranger,0.0137,49.2255,10588
Abaddon,-0.0334,46.3685,3869
Keeper of the Light,-0.0456,52.1152,6524
Phoenix,-0.0762,51.0321,2955
Timbersaw,-0.14,54.4251,7480
Razor,-0.1741,54.0472,3978
Skywrath Mage,-0.2092,49.4673,5820
Viper,-0.2097,49.3687,13466
Spirit Breaker,-0.2235,44.4221,15436
Omniknight,-0.2531,45.6884,5520
Jakiro,-0.2721,47.211,5719
Wraith King,-0.3062,44.2612,11222
Dragon Knight,-0.3129,50.3161,7276
Lion,-0.3577,52.6915,11053
Sven,-0.3635,47.5976,17795
Lone Druid,-0.3682,60.943,2248
Batrider,-0.3935,57.5648,2505
Faceless Void,-0.4465,50.6439,12191
Crystal Maiden,-0.4516,45.5944,11111
Lina,-0.4592,54.8853,9682
Arc Warden,-0.4717,54.9319,2352
Phantom Assassin,-0.5636,46.3294,25800
Shadow Shaman,-0.5662,46.5814,10326
Meepo,-0.638,54.3183,3682
Winter Wyvern,-0.6525,50.3288,3497
Ember Spirit,-0.6534,53.9916,6927
Zeus,-0.6554,43.3885,9597
Pugna,-0.6575,51.8873,5113
Rubick,-0.6767,54.0853,9167
Naga Siren,-0.6769,56.3314,1919
Outworld Devourer,-0.7338,51.9779,6699
Elder Titan,-0.7719,48.6635,2170
Gyrocopter,-0.7751,53.4545,3025
Earthshaker,-0.786,48.9334,22502
Witch Doctor,-0.7863,49.6726,5957
Sniper,-0.8441,48.6089,26275
Juggernaut,-0.96,51.767,18562
Slark,-0.9699,51.921,14081
Beastmaster,-0.9861,55.3527,1644
Dazzle,-1.0159,49.4045,4870
Ogre Magi,-1.0878,47.4984,9794
Techies,-1.09,51.1182,3130
Tusk,-1.1183,57.1324,4108
Terrorblade,-1.1442,50.5494,4277
Disruptor,-1.1734,49.7184,5505
Magnus,-1.1864,55.1751,7565
Oracle,-1.2188,57.9561,2143
Morphling,-1.225,53.4723,6235
Silencer,-1.3014,46.1084,9315
Puck,-1.3726,56.5879,6436
Chaos Knight,-1.4399,44.1724,7516
Lifestealer,-1.4899,52.6285,8712
Lich,-1.5071,45.1096,6932
Clockwerk,-1.5373,47.7855,5035
Necrophos,-1.6052,42.8543,20509
Brewmaster,-1.6355,48.3037,1857
Queen of Pain,-1.6486,55.045,8553
Underlord,-1.7175,42.445,3051
Enchantress,-1.7176,54.7459,2992
Dark Seer,-1.7498,51.7885,2516
Phantom Lancer,-1.9174,47.6362,7742
Luna,-2.2792,46.9792,9319
Tinker,-2.3257,51.1581,9541
Enigma,-2.3983,47.1068,5634
Venomancer,-3.0793,45.4907,10290
Tidehunter,-4.041,45.8094,5226
