Sniper,2.7139,48.695,639007
Abaddon,2.6583,45.6771,78536
Arc Warden,2.6105,55.0327,55049
Bristleback,2.5354,51.4604,271908
Spectre,2.3407,41.9923,193728
Drow Ranger,2.323,48.3429,240161
Dragon Knight,2.1289,49.7896,132620
Luna,1.949,47.9453,200280
Lifestealer,1.9282,53.0918,163396
Viper,1.8581,48.1686,293446
Terrorblade,1.8497,50.3557,86852
Tinker,1.8388,52.5513,192661
Silencer,1.8021,45.9671,194874
Wraith King,1.7496,42.7514,236032
Clinkz,1.7233,50.0135,180985
Templar Assassin,1.6841,54.3461,123455
Venomancer,1.665,46.9321,205597
Medusa,1.5945,53.3594,100670
Warlock,1.5779,46.6838,70427
Treant Protector,1.5611,48.8112,72893
Troll Warlord,1.499,46.4621,263070
Sven,1.3719,45.6823,362707
Weaver,1.3603,47.819,223685
Ursa,1.3063,45.0784,201744
Lich,1.2809,44.5087,137191
Phantom Assassin,1.2674,44.7841,656337
Alchemist,1.2612,55.3017,144679
Bounty Hunter,1.2344,49.7565,184257
Razor,1.1169,52.5861,81993
Enchantress,1.0538,54.9789,65847
Underlord,0.9662,41.9941,60418
Nature's Prophet,0.9583,55.794,166991
Ember Spirit,0.9394,52.6354,132654
Mirana,0.9309,47.3712,341089
Tidehunter,0.9183,47.9064,95413
Jakiro,0.8616,44.9136,120627
Gyrocopter,0.8354,52.0361,67088
Broodmother,0.8331,57.814,55528
Vengeful Spirit,0.8258,45.6986,125822
Ogre Magi,0.7056,46.115,186748
Lycan,0.6904,50.9422,60441
Batrider,0.6798,55.9838,48539
Slardar,0.6672,47.3909,194900
Brewmaster,0.6004,47.7753,39983
Zeus,0.5523,40.8716,205920
Winter Wyvern,0.5471,48.5188,71665
Witch Doctor,0.5123,47.9705,127076
Death Prophet,0.4793,51.9436,78951
Juggernaut,0.4391,50.0496,409943
Visage,0.3765,48.2429,35344
Monkey King,0.354,50.734,295218
Shadow Shaman,0.3288,43.9353,228850
Centaur Warrunner,0.314,42.5218,98808
Huskar,0.3027,50.0554,188311
Night Stalker,0.2979,48.2805,98522
Undying,0.2425,46.3002,66369
Rubick,0.2184,52.2122,178577
Keeper of the Light,0.213,49.3493,119422
Nyx Assassin,0.1876,48.0943,142736
Chen,0.075,55.6702,21128
Beastmaster,0.0514,53.4719,33943
Lina,0.0211,52.5612,192916
Spirit Breaker,-0.0409,41.2766,321683
Kunkka,-0.0857,49.6762,221923
Elder Titan,-0.131,46.124,42119
Skywrath Mage,-0.1456,46.2686,135100
Chaos Knight,-0.1505,41.7994,155411
Enigma,-0.1555,46.2808,111934
Doom,-0.1799,51.8698,80463
Axe,-0.1843,44.5535,348670
Pudge,-0.1882,45.3938,647506
Invoker,-0.2295,49.5147,582546
Dark Seer,-0.2837,50.4217,46829
Techies,-0.2848,48.9095,75568
Morphling,-0.3119,51.1208,128030
Shadow Demon,-0.3698,51.6705,45643
Naga Siren,-0.4029,53.7302,39568
Crystal Maiden,-0.4534,42.4602,236508
Phantom Lancer,-0.459,45.6779,163394
Bane,-0.4655,51.2589,55563
Lone Druid,-0.4686,58.774,45093
Meepo,-0.5005,52.0192,82358
Pugna,-0.503,49.0011,110181
Legion Commander,-0.5325,48.6871,452436
Shadow Fiend,-0.5611,49.2661,335537
Magnus,-0.5741,52.806,138168
Clockwerk,-0.6627,45.6687,97421
Phoenix,-0.691,47.5065,59857
Windranger,-0.7019,47.498,304998
Ancient Apparition,-0.7224,44.4318,102395
Timbersaw,-0.8803,50.6239,139037
Dazzle,-0.9123,46.4584,101353
Lion,-1.1105,48.9895,210000
Leshrac,-1.1771,50.7773,40396
Queen of Pain,-1.1813,52.662,160252
Earth Spirit,-1.2012,54.3463,65710
Bloodseeker,-1.2178,42.8113,563706
Tusk,-1.3205,54.1949,82659
Riki,-1.5226,40.9961,295269
Earthshaker,-1.5427,45.0044,386211
Oracle,-1.6833,55.0893,38993
Outworld Devourer,-1.7781,47.871,129218
Omniknight,-1.7822,40.9223,111670
Sand King,-1.9065,46.599,178274
Necrophos,-1.9534,38.916,432058
Io,-2.0196,59.8234,37044
Disruptor,-2.1196,45.794,112187
Tiny,-2.1479,49.3574,149803
Faceless Void,-2.1607,45.9195,254103
Anti-Mage,-2.4553,45.7796,426532
Storm Spirit,-2.4692,47.3106,159685
Puck,-2.593,52.6912,116970
