Underlord,4.8902,49.5342,114325
Necrophos,3.3739,47.0058,894288
Enigma,2.8921,53.5591,208013
Undying,2.3556,52.5002,128866
Silencer,2.2967,50.088,380506
Venomancer,2.2548,51.3163,435058
Jakiro,2.0617,49.711,251401
Shadow Shaman,1.892,48.942,480286
Terrorblade,1.8218,54.6866,172437
Ursa,1.8021,49.066,402639
Earthshaker,1.6685,52.0263,794359
Omniknight,1.6532,47.8807,212248
Drow Ranger,1.581,51.5083,584140
Riki,1.5789,47.0507,707702
Elder Titan,1.5556,51.8472,82554
Crystal Maiden,1.5366,47.7528,477999
Warlock,1.5337,50.351,138007
Chaos Knight,1.49,46.4302,357388
Visage,1.4729,53.5873,67389
Sven,1.4538,49.2055,846482
Wraith King,1.4463,45.0681,551738
Zeus,1.4277,44.0482,530073
Tidehunter,1.3928,52.4347,188564
Disruptor,1.3848,53.6002,194943
Abaddon,1.3696,47.691,145564
Vengeful Spirit,1.3256,49.8594,258328
Pugna,1.2382,55.3002,227384
Lich,1.0812,47.6014,284422
Winter Wyvern,1.0453,53.1924,138012
Medusa,0.9909,57.7772,218830
Luna,0.9562,50.7348,462993
Outworld Devourer,0.9068,55.3295,290398
Bloodseeker,0.8967,48.2198,976469
Kunkka,0.7541,54.9739,429856
Phantom Lancer,0.7505,50.7303,378947
Slardar,0.7485,51.4227,371106
Sand King,0.7434,53.562,346273
Dark Seer,0.7408,56.086,91274
Phoenix,0.6953,53.1106,114431
Ancient Apparition,0.6474,49.5765,178774
Witch Doctor,0.6433,52.1757,262275
Spirit Breaker,0.536,44.3111,807250
Leshrac,0.4784,57.3136,76685
Ogre Magi,0.4569,49.5161,376354
Razor,0.4523,56.7358,166942
Troll Warlord,0.3742,48.8709,539566
Dragon Knight,0.3647,52.0934,296492
Axe,0.3421,48.5394,741998
Dazzle,0.2428,51.6811,198937
Death Prophet,0.1762,56.7261,186110
Beastmaster,-0.013,58.2637,61570
Treant Protector,-0.0566,51.0362,135484
Skywrath Mage,-0.0666,50.1488,278192
Monkey King,-0.133,54.8212,600784
Brewmaster,-0.1621,50.8819,73867
Night Stalker,-0.1688,51.8228,181173
Centaur Warrunner,-0.1946,45.0165,195408
Nyx Assassin,-0.1985,51.708,274696
Naga Siren,-0.3714,58.9061,77430
Viper,-0.393,49.6242,762163
Spectre,-0.3996,41.0979,433190
Bane,-0.4009,55.9546,102013
Magnus,-0.4399,57.8866,265054
Mirana,-0.4518,49.7724,703638
Faceless Void,-0.4915,51.6826,489594
Templar Assassin,-0.5045,57.0526,249317
Bristleback,-0.5396,52.6972,568959
Shadow Demon,-0.5408,56.1644,89343
Gyrocopter,-0.553,55.2005,131216
Lion,-0.5593,54.0735,446675
Keeper of the Light,-0.5966,52.7118,225788
Windranger,-0.6931,51.6164,664505
Clockwerk,-0.7524,49.2678,208160
Earth Spirit,-0.7718,59.9349,124480
Rubick,-0.8023,55.7649,346128
Lina,-0.8312,56.748,424166
Weaver,-0.8938,49.2262,488197
Bounty Hunter,-0.9058,51.7061,387784
Juggernaut,-0.9155,53.1853,872928
Ember Spirit,-0.947,55.294,262323
Techies,-1.0164,52.5203,169561
Puck,-1.0785,59.6962,239057
Doom,-1.0812,55.4491,142691
Clinkz,-1.1274,51.2063,424707
Shadow Fiend,-1.2049,53.1249,765260
Phantom Assassin,-1.2149,45.5265,1482680
Tiny,-1.2411,55.0833,316050
Chen,-1.2591,59.5143,41264
Timbersaw,-1.3335,54.704,249797
Batrider,-1.3971,58.8619,89659
Invoker,-1.4341,52.8264,1411801
Meepo,-1.4537,56.0025,184754
Huskar,-1.5902,52.5746,442276
Pudge,-1.6221,47.5656,1441177
Lifestealer,-1.825,53.7402,325300
Alchemist,-1.8729,57.1454,283060
Tinker,-1.9007,53.2369,410715
Oracle,-1.9183,60.1076,74711
Morphling,-1.9527,53.8701,232500
Legion Commander,-2.0495,51.443,968078
Lycan,-2.1236,52.2351,117484
Anti-Mage,-2.1286,50.0301,867173
Tusk,-2.2121,58.5251,162942
Broodmother,-2.4087,59.6152,104963
Arc Warden,-2.5075,54.1976,107691
Lone Druid,-2.6288,62.353,87420
Queen of Pain,-2.686,56.2014,344441
Enchantress,-2.7211,56.1101,142026
Slark,-2.9979,51.3049,639007
Nature's Prophet,-3.0681,56.7172,333858
Storm Spirit,-3.3009,50.5746,322106
Io,-4.1269,63.5356,70499
