Clinkz,1.5561,58.9161,14928
Silencer,1.2575,54.2679,15429
Drow Ranger,1.231,56.2301,19879
Anti-Mage,1.0887,58.0876,32432
Skywrath Mage,1.0829,56.5842,10920
Legion Commander,0.8348,58.9661,35400
Keeper of the Light,0.781,58.8982,10783
Spectre,0.7154,49.4254,13837
Warlock,0.612,54.6898,5917
Sniper,0.4155,55.5341,56549
Lina,0.3753,61.9297,16966
Pugna,0.3586,58.8787,8954
Ancient Apparition,0.34,54.3275,7926
Shadow Fiend,0.3134,58.9894,26064
Nature's Prophet,0.2149,64.5553,17698
Luna,0.2124,55.1976,17104
Night Stalker,0.2066,57.2483,9478
Centaur Warrunner,0.2017,51.1004,8360
Tinker,0.1778,59.7381,16651
Lycan,0.1706,59.4976,5375
Bloodseeker,0.0603,53.1101,41525
Disruptor,0.027,56.8599,10605
Terrorblade,-0.027,57.5837,7160
Axe,-0.0366,53.5717,29803
Troll Warlord,-0.0588,53.5351,23224
Brewmaster,-0.066,55.7397,3258
Ursa,-0.0888,52.3321,17473
Shadow Shaman,-0.1129,52.5926,20269
Slardar,-0.1895,55.5807,15437
Slark,-0.1918,58.6399,22749
Winter Wyvern,-0.1923,56.6206,5717
Zeus,-0.1937,49.1475,17480
Ogre Magi,-0.2248,54.0378,16655
Windranger,-0.2419,56.8054,26376
Mirana,-0.243,55.066,25148
Beastmaster,-0.2438,62.3357,2740
Phoenix,-0.2668,56.706,5167
Faceless Void,-0.2982,56.6159,21229
Pudge,-0.2999,54.2325,53455
Crystal Maiden,-0.345,51.156,20414
Bounty Hunter,-0.387,57.3813,15512
Templar Assassin,-0.3888,61.14,10000
Outworld Devourer,-0.3934,58.291,11235
Phantom Assassin,-0.3982,52.0235,49666
Huskar,-0.4581,58.2215,16554
Dragon Knight,-0.4964,55.9664,11196
Lich,-0.5074,51.6202,12313
Abaddon,-0.5504,51.3466,6275
Riki,-0.5589,50.7948,27176
Nyx Assassin,-0.5623,56.1955,12291
Gyrocopter,-0.582,59.7434,5224
Dazzle,-0.5991,55.6013,8257
Bane,-0.6038,59.5451,5013
Juggernaut,-0.6428,58.0076,33137
Phantom Lancer,-0.6742,54.6214,15071
Vengeful Spirit,-0.6809,53.151,10314
Venomancer,-0.6912,53.4803,17498
Elder Titan,-0.6925,54.4622,3496
Monkey King,-0.7217,58.6943,24142
Lifestealer,-0.7789,59.3523,13248
Invoker,-0.7809,58.0054,48311
Weaver,-0.7939,54.5056,18965
Arc Warden,-0.8329,60.7134,4233
Undying,-0.8656,53.9956,6019
Broodmother,-0.9045,65.4436,4824
Earthshaker,-0.9553,54.4608,35980
Alchemist,-1.0266,61.494,11097
Storm Spirit,-1.0294,57.7631,13680
Queen of Pain,-1.0313,61.8885,14106
Leshrac,-1.042,59.8505,3345
Lion,-1.0461,58.0225,20137
Sven,-1.0921,52.4921,31679
Shadow Demon,-1.1161,59.611,3959
Rubick,-1.1264,59.6765,15646
Viper,-1.128,54.2115,25834
Batrider,-1.1863,63.0502,4203
Medusa,-1.2428,58.9977,8002
Sand King,-1.292,56.3356,16352
Timbersaw,-1.3653,59.2457,11508
Death Prophet,-1.3703,58.9884,7276
Clockwerk,-1.3999,53.6213,8795
Magnus,-1.5106,60.9282,11269
Bristleback,-1.5356,56.4121,24126
Jakiro,-1.704,51.2697,10435
Doom,-1.7226,59.3011,6010
Necrophos,-1.7546,47.9997,36096
Witch Doctor,-1.8038,54.3913,10737
Wraith King,-1.8271,48.0349,21603
Visage,-1.8663,55.3247,3033
Kunkka,-1.875,56.7402,18805
Tidehunter,-1.8827,53.7241,8136
Treant Protector,-1.9223,54.1687,6129
Tiny,-1.9795,58.3509,12286
Chaos Knight,-2.0089,48.9412,14215
Techies,-2.0431,56.0504,5950
Enchantress,-2.0448,60.643,5318
Morphling,-2.2759,58.3977,10086
Omniknight,-2.2851,49.0064,9209
Dark Seer,-2.3269,57.1561,4290
Lone Druid,-2.3459,65.2913,3587
Earth Spirit,-2.3966,62.4677,5422
Razor,-2.4324,57.7793,6980
Puck,-2.4613,61.8551,11223
Tusk,-2.4871,62.0975,7113
Oracle,-2.7412,62.6159,3341
Naga Siren,-2.7471,60.3622,3257
Underlord,-2.7891,46.571,5162
Ember Spirit,-2.7954,57.8031,11316
Chen,-2.8418,61.8211,1823
Io,-3.3404,67.6408,3319
Enigma,-3.6469,51.4248,9124
Meepo,-3.6481,57.2131,6703
