Chaos Knight,4.6944,52.2292,349059
Meepo,4.0742,63.8622,158870
Phantom Lancer,3.7209,56.032,339070
Centaur Warrunner,1.8367,49.7571,119846
Anti-Mage,1.4459,55.4259,578713
Zeus,1.1481,46.9104,287181
Bloodseeker,1.021,50.62,585474
Spirit Breaker,0.9377,47.753,436102
Lycan,0.8215,57.0198,74660
Earthshaker,0.6974,52.8925,513418
Warlock,0.6492,51.4086,86324
Bounty Hunter,0.6127,54.9412,210756
Nyx Assassin,0.59,54.2733,164685
Terrorblade,0.5181,54.859,118542
Vengeful Spirit,0.4802,51.0468,150832
Dark Seer,0.4765,57.1092,56567
Riki,0.4565,48.5464,380390
Underlord,0.4561,47.0164,73234
Ursa,0.4314,49.8354,271353
Pudge,0.414,51.6119,796651
Luna,0.3957,52.1197,274865
Juggernaut,0.3279,55.9241,559342
Omniknight,0.3048,48.706,145327
Kunkka,0.3006,55.9145,261247
Disruptor,0.2831,54.0855,126078
Dazzle,0.2244,53.4381,121941
Abaddon,0.151,48.6902,90437
Slardar,0.1325,52.6347,244462
Storm Spirit,0.0694,55.8001,189168
Magnus,0.0507,59.4665,169640
Leshrac,0.0288,57.9448,46351
Ember Spirit,0.0279,57.613,162241
Brewmaster,0.0194,52.9361,47648
Phantom Assassin,0.0108,49.2868,841093
Naga Siren,-0.0076,60.2982,51441
Huskar,-0.0105,55.7188,259456
Skywrath Mage,-0.0424,52.122,160525
Faceless Void,-0.0834,53.8336,299398
Outworld Devourer,-0.0893,55.5521,172087
Spectre,-0.148,45.0146,215881
Legion Commander,-0.1768,54.9219,586072
Axe,-0.1959,50.2199,505502
Crystal Maiden,-0.1999,48.3425,276388
Ancient Apparition,-0.2083,50.6918,107169
Jakiro,-0.2425,49.3896,157543
Shadow Fiend,-0.2772,55.4552,424032
Night Stalker,-0.2987,53.4458,119027
Chen,-0.3125,61.2744,25061
Ogre Magi,-0.3241,50.7632,229662
Undying,-0.3306,51.4161,80006
Lich,-0.355,48.3822,183615
Sand King,-0.3661,53.9892,215756
Beastmaster,-0.399,58.9197,39233
Puck,-0.403,61.0673,144321
Elder Titan,-0.4103,51.5572,52850
Visage,-0.4269,53.1616,41671
Tidehunter,-0.446,52.2379,123351
Shadow Shaman,-0.4859,48.7294,287740
Bane,-0.5011,57.1589,66714
Silencer,-0.5178,49.2358,235101
Drow Ranger,-0.5589,51.1697,305483
Tusk,-0.585,61.0233,98600
Broodmother,-0.5871,62.7856,80254
Monkey King,-0.6032,55.6895,368976
Treant Protector,-0.6302,52.2566,84041
Queen of Pain,-0.6339,59.2359,194740
Witch Doctor,-0.7206,52.4633,160186
Dragon Knight,-0.7248,52.6747,191830
Clinkz,-0.7496,53.3277,242328
Tiny,-0.7497,56.8017,190746
Gyrocopter,-0.752,56.2234,76710
Earth Spirit,-0.758,60.8199,79178
Viper,-0.7621,51.3109,420799
Mirana,-0.8706,51.3214,393159
Pugna,-0.9076,54.3888,133531
Lion,-0.9673,55.042,270406
Necrophos,-0.9757,45.3076,533557
Wraith King,-1.0133,45.3177,359636
Lina,-1.066,57.4194,239715
Lifestealer,-1.072,56.0062,219356
Enigma,-1.1043,51.0278,143802
Shadow Demon,-1.1257,56.8008,57390
Clockwerk,-1.1545,50.851,117502
Venomancer,-1.1685,49.7098,238504
Keeper of the Light,-1.2279,53.6352,135191
Death Prophet,-1.2283,56.1949,111389
Rubick,-1.2982,56.6164,237348
Morphling,-1.3125,55.9337,141959
Sniper,-1.316,50.7945,846483
Doom,-1.3472,56.4975,91273
Weaver,-1.3837,50.7574,271107
Timbersaw,-1.4441,55.9817,166297
Phoenix,-1.5232,52.3755,70678
Troll Warlord,-1.5506,49.0517,369950
Slark,-1.5767,54.3177,362708
Bristleback,-1.5944,53.2186,372140
Oracle,-1.6548,61.1903,48001
Alchemist,-1.6597,58.3112,176333
Arc Warden,-1.6893,56.3532,64211
Techies,-1.7903,53.1727,93672
Invoker,-1.7963,53.9208,759776
Tinker,-1.8367,54.6785,238097
Enchantress,-1.8853,57.8784,81272
Windranger,-1.9303,52.0507,373614
Batrider,-1.9752,59.112,55926
Winter Wyvern,-2.0569,51.5917,111981
Nature's Prophet,-2.1026,58.6532,202074
Lone Druid,-2.2211,62.9538,51425
Razor,-2.398,54.9302,117640
Io,-2.411,65.5892,44056
Templar Assassin,-2.5612,55.8629,151290
Medusa,-2.7316,54.7177,124890
