Weaver,3.2377,50.6298,58503
Riki,3.0524,46.8584,89764
Ember Spirit,2.3537,54.5242,35542
Bloodseeker,2.2704,47.3608,127010
Morphling,1.9799,53.9486,31606
Lich,1.9301,46.4506,34964
Bounty Hunter,1.8528,51.1479,50350
Puck,1.5743,57.1147,30458
Spirit Breaker,1.4955,44.3015,88516
Necrophos,1.4416,43.6772,109581
Phantom Lancer,1.393,48.5925,47816
Earthshaker,1.3159,48.7461,97581
Sven,1.291,46.8272,93672
Nyx Assassin,1.2659,50.0613,36693
Monkey King,1.2369,52.2014,82015
Mirana,1.2093,48.661,85514
Meepo,1.0917,54.1004,24900
Queen of Pain,1.0504,55.2214,41741
Clinkz,1.0415,50.1396,50130
Tidehunter,1.02,48.9767,23356
Shadow Fiend,1.0048,51.4848,85730
Elder Titan,0.9412,48.2954,11264
Phantom Assassin,0.8496,45.7567,169232
Witch Doctor,0.8421,49.2382,32099
Zeus,0.8361,42.7806,70069
Timbersaw,0.7841,52.8458,34313
Lina,0.7667,53.7307,52108
Silencer,0.6732,46.069,47075
Terrorblade,0.6509,49.9265,25189
Slardar,0.5542,48.3036,45510
Ursa,0.5336,45.6339,54775
Clockwerk,0.4928,47.9167,24985
Death Prophet,0.4744,52.4793,21719
Razor,0.4473,52.4132,22273
Slark,0.4107,51.0904,75568
Windranger,0.3941,49.4522,83986
Gyrocopter,0.3835,52.1174,18088
Tinker,0.3704,51.6565,51854
Venomancer,0.3333,46.7376,54117
Drow Ranger,0.3315,47.4395,68561
Shadow Shaman,0.3116,45.2642,58143
Undying,0.3083,47.4598,17617
Pugna,0.3063,50.5886,30240
Winter Wyvern,0.3013,49.1606,18348
Outworld Devourer,0.2775,50.7331,32874
Magnus,0.204,53.9701,33689
Sand King,0.2022,49.6106,44307
Sniper,0.1557,47.4796,169561
Faceless Void,0.1539,49.1573,61531
Brewmaster,0.1526,48.2926,10894
Tusk,0.1167,55.8354,23143
Axe,0.1037,46.0774,86845
Dark Seer,0.0987,51.4676,12878
Tiny,0.0572,52.1781,41916
Troll Warlord,0.0017,46.2012,68509
Crystal Maiden,-0.0035,44.3596,59863
Invoker,-0.0105,50.4499,153235
Kunkka,-0.0138,50.4795,61304
Luna,-0.0409,47.0397,53493
Bristleback,-0.0509,49.6771,67069
Night Stalker,-0.0731,48.8099,27435
Earth Spirit,-0.1122,55.6751,17832
Chaos Knight,-0.1623,43.2862,43776
Omniknight,-0.2372,44.0064,30216
Legion Commander,-0.3017,49.7089,118182
Viper,-0.3462,47.0767,78969
Lion,-0.3674,50.4637,53264
Disruptor,-0.3829,48.547,25569
Jakiro,-0.4834,44.8443,30559
Skywrath Mage,-0.4923,47.0112,35834
Ancient Apparition,-0.5075,45.9005,23930
Dazzle,-0.5412,47.8518,26674
Underlord,-0.5908,41.9849,15920
Juggernaut,-0.8429,49.5992,101066
Dragon Knight,-0.8798,47.6637,35698
Storm Spirit,-0.9204,49.6841,42267
Ogre Magi,-0.9351,45.6649,47220
Alchemist,-0.939,53.3219,38817
Doom,-0.9872,51.5714,20777
Rubick,-1.0696,51.4804,47484
Shadow Demon,-1.1007,51.4727,12426
Enchantress,-1.1401,53.0345,19838
Phoenix,-1.2021,47.9187,15255
Enigma,-1.2449,46.2899,27466
Warlock,-1.2575,44.9727,18002
Naga Siren,-1.3247,53.1255,12094
Treant Protector,-1.6676,46.493,20203
Vengeful Spirit,-1.692,44.4098,34686
Visage,-1.8286,46.9253,9432
Centaur Warrunner,-1.9772,41.7348,26261
Abaddon,-2.0195,42.2991,22426
Keeper of the Light,-2.0245,47.9251,31785
Medusa,-2.0778,50.1695,27130
Oracle,-2.133,54.7788,10557
Bane,-2.1877,50.0799,15014
Huskar,-2.2941,48.2508,54169
Arc Warden,-2.3334,50.3898,15261
Lifestealer,-2.4426,49.297,43814
Nature's Prophet,-2.4539,52.6159,57741
Spectre,-2.4957,39.0113,42885
Wraith King,-2.5082,40.2279,68793
Broodmother,-2.5318,54.4374,16924
Batrider,-2.5506,52.8447,12268
Leshrac,-2.6056,49.9158,11880
Pudge,-2.6078,44.5212,180058
Io,-2.6228,58.8557,10767
Lycan,-2.6837,48.2027,17638
Templar Assassin,-2.8855,50.1673,35848
Chen,-3.0249,52.6878,6269
Anti-Mage,-3.3933,45.9434,109354
Lone Druid,-3.5409,55.4448,13150
Beastmaster,-6.2026,47.5201,10686
