Invoker,3.1601,50.0909,277749
Puck,2.9536,55.5667,53622
Techies,2.89,49.8326,35848
Zeus,2.755,41.3584,95816
Nyx Assassin,2.7218,48.4038,64154
Anti-Mage,2.5739,48.322,173043
Lifestealer,2.507,51.114,73741
Shadow Fiend,2.3415,49.6647,151963
Rubick,2.2925,51.7476,77505
Earthshaker,2.0455,46.2983,168734
Sven,1.8061,44.137,151290
Clockwerk,1.7349,46.0139,45634
Skywrath Mage,1.7186,46.0502,61611
Tiny,1.5412,50.6151,69254
Centaur Warrunner,1.4604,41.9077,45488
Tinker,1.4422,49.6621,82288
Monkey King,1.4305,49.3535,128236
Oracle,1.4155,55.4769,18797
Lina,1.343,51.2875,89043
Ursa,1.3424,43.2106,90008
Ancient Apparition,1.3369,44.5729,42703
Elder Titan,1.3131,45.5207,20171
Keeper of the Light,1.2616,48.0988,51205
Outworld Devourer,1.2596,48.6389,56683
Juggernaut,1.2141,48.4331,165496
Queen of Pain,1.1473,52.3433,72632
Legion Commander,1.1372,47.9642,179734
Lycan,1.1152,48.9581,30140
Storm Spirit,1.0814,48.5927,62569
Magnus,1.0482,51.8145,62909
Mirana,0.9834,45.3188,140306
Earth Spirit,0.9831,53.8461,31057
Nature's Prophet,0.9127,52.9541,73660
Phantom Assassin,0.8749,42.5484,243057
Clinkz,0.7285,46.7264,84526
Tusk,0.6351,53.4231,38970
Morphling,0.6079,49.5613,55402
Lion,0.6049,48.3431,89599
Kunkka,0.5511,47.9574,98456
Vengeful Spirit,0.4558,43.3294,59823
Visage,0.4018,46.0551,16680
Silencer,0.3631,42.5895,81250
Night Stalker,0.3462,46.1034,48120
Omniknight,0.2751,41.2776,50342
Enigma,0.2336,44.5986,50441
Huskar,0.2246,47.6078,90462
Wraith King,0.2062,39.5375,104564
Chen,0.1951,53.0235,10501
Pugna,0.1706,47.3795,48789
Necrophos,0.134,39.238,180580
Lich,0.1171,41.4517,62726
Disruptor,-0.0035,45.8045,49506
Drow Ranger,-0.0955,43.8609,106083
Bane,-0.1248,49.1193,25548
Abaddon,-0.1267,40.9471,35751
Io,-0.13,58.5894,17894
Bloodseeker,-0.15,41.9792,195475
Timbersaw,-0.1501,48.8843,60680
Treant Protector,-0.2174,44.7968,33739
Weaver,-0.2388,44.1284,99795
Brewmaster,-0.2569,44.7205,19680
Ogre Magi,-0.296,43.1133,80235
Undying,-0.3218,43.654,31390
Winter Wyvern,-0.3224,45.4108,33666
Riki,-0.3646,40.403,129062
Witch Doctor,-0.4057,44.8744,56462
Faceless Void,-0.4303,45.4798,107562
Dazzle,-0.4538,44.8018,45516
Luna,-0.4799,43.4425,91095
Meepo,-0.4989,49.4941,39144
Warlock,-0.5063,42.5213,32974
Pudge,-0.5244,43.0865,263421
Spirit Breaker,-0.5392,39.1306,139456
Tidehunter,-0.5743,44.2423,43273
Shadow Demon,-0.6084,48.9391,21727
Arc Warden,-0.6212,49.0819,25708
Enchantress,-0.6653,50.5147,31276
Spectre,-0.6969,37.4653,76388
Crystal Maiden,-0.761,40.401,100792
Windranger,-0.9827,45.045,130436
Broodmother,-1.0049,53.065,29151
Beastmaster,-1.02,49.751,16870
Underlord,-1.1022,38.1598,28758
Medusa,-1.1216,48.0709,47796
Shadow Shaman,-1.2038,40.591,95871
Bristleback,-1.2087,45.4678,107421
Doom,-1.2704,48.25,36715
Leshrac,-1.274,48.2165,20466
Slardar,-1.3271,43.3073,87648
Sniper,-1.4153,42.9473,249317
Gyrocopter,-1.4298,47.2325,34851
Axe,-1.441,41.4435,144809
Razor,-1.4487,47.4607,42020
Bounty Hunter,-1.4718,44.7897,86685
Jakiro,-1.474,40.628,58499
Lone Druid,-1.5107,54.6281,21758
Death Prophet,-1.5137,47.4372,37401
Troll Warlord,-1.64,41.4295,113704
Sand King,-1.6556,44.6788,80425
Phoenix,-1.6572,44.3271,28504
Chaos Knight,-1.9659,38.2519,72948
Slark,-2.068,45.6538,123455
Ember Spirit,-2.6822,46.5026,69366
Dragon Knight,-2.683,42.7231,58947
Viper,-2.75,41.6317,149100
Alchemist,-2.8288,48.449,64154
Batrider,-3.1927,49.2303,24036
Terrorblade,-3.3584,42.7665,43686
Venomancer,-3.5394,39.7876,107159
Naga Siren,-3.9849,47.414,20998
Dark Seer,-4.2599,43.9673,23663
Phantom Lancer,-4.6434,39.4982,79363
