Chen,5.5739,62.1848,595
Visage,5.0896,54.8856,962
Treant Protector,3.8509,52.5995,1808
Dazzle,3.2209,51.99,2412
Templar Assassin,3.1221,56.5594,3232
Anti-Mage,3.0538,52.2535,11249
Lifestealer,2.8012,55.0098,4072
Vengeful Spirit,2.7573,49.3886,3353
Shadow Shaman,2.707,48.2532,5038
Viper,2.5486,50.3775,6489
Bane,2.4144,54.6781,1507
Doom,2.2317,55.4085,2117
Earth Spirit,2.2081,58.8544,1711
Mirana,2.1925,50.041,7300
Io,2.0064,64.0548,1021
Lycan,2.0011,53.487,1735
Wraith King,1.947,45.0478,5543
Venomancer,1.8436,48.7502,5401
Omniknight,1.8136,46.3061,2829
Clinkz,1.7881,51.4358,4318
Rubick,1.7467,54.6036,4377
Meepo,1.7145,54.8466,2022
Undying,1.6933,49.2822,1881
Bounty Hunter,1.6913,51.755,4245
Beastmaster,1.6258,56.1316,1003
Night Stalker,1.6011,51.0204,2940
Ancient Apparition,1.3094,48.0745,2467
Tiny,1.277,53.717,3874
Clockwerk,1.1844,48.9277,2518
Weaver,1.174,49.0804,5383
Necrophos,1.159,44.0316,9743
Spectre,1.1178,43.155,4507
Slardar,1.1174,49.4505,4277
Phantom Assassin,1.0092,46.2366,12635
Witch Doctor,0.9825,49.7806,2963
Shadow Fiend,0.9505,51.8552,7546
Lone Druid,0.9459,60.1526,1310
Arc Warden,0.9138,54.4876,1415
Razor,0.8986,53.2843,2314
Faceless Void,0.8114,50.1621,6475
Juggernaut,0.7978,51.6504,8937
Ogre Magi,0.778,47.7761,4182
Nyx Assassin,0.7386,50.0,3820
Kunkka,0.7323,51.6409,5515
Pudge,0.691,47.8408,12922
Nature's Prophet,0.5251,56.1842,4277
Alchemist,0.5123,54.9568,3823
Brewmaster,0.4926,48.8542,1091
Tidehunter,0.4752,48.7842,2591
Naga Siren,0.3616,55.494,1265
Shadow Demon,0.2689,53.1324,1261
Huskar,0.1615,51.0372,4724
Death Prophet,0.0878,52.5375,2128
Silencer,0.0304,45.9165,4959
Warlock,0.0185,46.822,1888
Medusa,-0.0368,52.4205,3367
Queen of Pain,-0.0772,54.6478,4174
Ursa,-0.0823,45.3092,4882
Dragon Knight,-0.1255,48.8314,3252
Luna,-0.1432,47.5041,5429
Monkey King,-0.242,51.3287,6585
Riki,-0.2777,44.1829,6842
Invoker,-0.3275,50.7866,12395
Lion,-0.4268,50.849,5182
Abaddon,-0.4446,44.487,2086
Oracle,-0.4789,56.6388,1077
Techies,-0.5246,49.9722,1803
Phoenix,-0.532,48.8789,1561
Magnus,-0.5551,53.8544,3697
Enigma,-0.5884,47.344,2805
Underlord,-0.6009,42.2408,1669
Enchantress,-0.6392,53.9401,1637
Chaos Knight,-0.6725,43.525,4000
Windranger,-0.6931,48.8066,6536
Pugna,-0.7893,50.0179,2783
Troll Warlord,-0.7898,45.6648,6355
Jakiro,-0.7972,45.1687,3022
Bloodseeker,-0.8232,45.1686,10018
Spirit Breaker,-0.8803,42.4162,7160
Centaur Warrunner,-0.883,43.141,2566
Elder Titan,-0.8991,46.9287,1221
Batrider,-0.9613,55.0035,1409
Puck,-1.0128,54.9291,3033
Bristleback,-1.0294,49.255,5772
Disruptor,-1.157,48.0796,2812
Broodmother,-1.2246,56.615,1678
Skywrath Mage,-1.2526,46.8112,3136
Storm Spirit,-1.2534,49.8587,3893
Tusk,-1.2846,54.952,2191
Legion Commander,-1.2861,49.3146,9338
Sven,-1.5561,44.9635,8776
Morphling,-1.5567,51.3069,3290
Slark,-1.6497,49.5147,6491
Drow Ranger,-1.7223,45.9479,5454
Winter Wyvern,-1.7435,47.5589,1823
Phantom Lancer,-1.7641,46.2133,4265
Zeus,-1.7873,40.9429,4836
Outworld Devourer,-1.8067,49.1606,3336
Crystal Maiden,-1.867,42.7886,5422
Lina,-1.9135,51.5869,4726
Keeper of the Light,-2.0471,48.3921,3203
Sand King,-2.1032,47.9589,4679
Earthshaker,-2.175,46.0767,11075
Ember Spirit,-2.1937,50.6257,3915
Gyrocopter,-2.4408,49.975,2001
Leshrac,-2.8335,50.1261,1189
Lich,-3.0428,42.154,3454
Dark Seer,-3.225,48.5325,1397
Tinker,-3.4695,48.2876,4380
Sniper,-3.4968,44.666,12486
Axe,-3.6815,42.9792,7720
Timbersaw,-6.2845,46.4552,3216
