Slardar,3.4069,53.1214,73844
Chaos Knight,3.2202,48.5856,60804
Wraith King,1.8183,46.3248,86077
Phantom Assassin,1.7934,48.5341,189854
Spirit Breaker,1.7865,46.5495,116592
Silencer,1.661,49.0342,86097
Lion,1.4616,54.3141,75299
Faceless Void,1.4228,52.4267,93748
Night Stalker,1.4119,52.3509,41537
Storm Spirit,1.3882,54.027,59050
Skywrath Mage,1.373,50.8888,49838
Shadow Shaman,1.3486,48.2685,85938
Earthshaker,1.2875,50.7457,165072
Crystal Maiden,1.2648,47.5762,83941
Ogre Magi,1.2157,49.7806,72261
Legion Commander,1.1801,53.1522,141597
Troll Warlord,1.1265,49.2966,83809
Mirana,1.1081,50.6064,115912
Bounty Hunter,1.1073,52.496,62618
Windranger,1.1071,52.1939,102625
Nyx Assassin,1.0897,51.9427,61641
Lifestealer,1.0728,54.833,57965
Magnus,1.0313,56.9211,60626
Dragon Knight,1.021,51.5941,52066
Spectre,0.9746,44.3498,70857
Centaur Warrunner,0.9026,46.5598,43385
Warlock,0.8436,49.0789,32625
Phantom Lancer,0.7646,50.0196,58439
Riki,0.7197,46.6428,96257
Sand King,0.7015,52.156,74371
Treant Protector,0.6796,50.892,28865
Templar Assassin,0.6376,55.7576,43273
Pudge,0.5347,49.1728,212888
Monkey King,0.47,53.5787,103403
Rubick,0.4588,55.057,95866
Winter Wyvern,0.4153,51.3291,26860
Vengeful Spirit,0.4015,48.4895,49423
Lina,0.3962,55.4845,72112
Queen of Pain,0.3599,56.6742,59542
Puck,0.3466,58.0508,43331
Axe,0.2644,48.2473,126666
Zeus,0.2616,44.1757,85977
Earth Spirit,0.1909,58.1519,27110
Batrider,0.1874,57.7871,19577
Invoker,0.1846,52.7132,192608
Weaver,0.1824,49.7266,76285
Tiny,0.1473,54.3709,55320
Shadow Demon,0.142,54.8458,18944
Sven,0.1376,47.7616,123352
Ember Spirit,0.0185,54.3333,55581
Arc Warden,-0.0079,54.8387,20863
Visage,-0.018,50.8061,14142
Jakiro,-0.1706,47.1472,51267
Shadow Fiend,-0.2436,52.3938,111681
Bane,-0.2773,54.1129,21943
Viper,-0.307,49.1425,104441
Brewmaster,-0.3138,49.8643,16591
Disruptor,-0.387,50.5933,44917
Gyrocopter,-0.4964,53.34,26721
Keeper of the Light,-0.5026,51.4926,43245
Phoenix,-0.5102,50.6697,27247
Morphling,-0.53,53.5659,45738
Dazzle,-0.5613,49.8735,35185
Ancient Apparition,-0.594,47.8219,39348
Medusa,-0.6236,53.7193,41553
Clockwerk,-0.6694,48.7868,43604
Abaddon,-0.6736,45.6226,31583
Slark,-0.724,52.094,95414
Witch Doctor,-0.7745,49.6862,52105
Doom,-0.7824,53.8991,34264
Tinker,-0.7849,52.6172,61094
Terrorblade,-0.8202,50.519,34199
Omniknight,-0.836,45.3946,42516
Venomancer,-0.8603,47.6105,91654
Tusk,-0.8603,57.0192,32482
Juggernaut,-0.8763,51.6365,134033
Naga Siren,-0.9022,55.6966,16615
Lich,-0.9362,45.6187,58202
Clinkz,-0.939,50.2672,63244
Ursa,-0.9874,46.1549,69843
Techies,-1.0326,51.0232,23356
Razor,-1.0848,52.9872,33091
Meepo,-1.1178,53.9823,27609
Drow Ranger,-1.2738,47.9167,76827
Luna,-1.3247,47.8208,76657
Underlord,-1.3352,43.1458,27560
Bristleback,-1.4665,50.3828,90892
Broodmother,-1.4675,57.6721,22725
Timbersaw,-1.4786,52.711,50773
Enigma,-1.4976,48.062,46467
Anti-Mage,-1.5095,49.6923,124659
Oracle,-1.6317,57.4645,15855
Alchemist,-1.6691,54.7219,49609
Elder Titan,-1.776,47.5624,19856
Outworld Devourer,-1.9326,50.621,50720
Enchantress,-1.9679,54.3099,24130
Sniper,-2.0142,47.565,188565
Death Prophet,-2.0473,52.0608,33238
Huskar,-2.0802,50.5146,62570
Kunkka,-2.1115,50.5352,91164
Lycan,-2.1465,50.8178,24637
Bloodseeker,-2.2267,45.2623,151996
Necrophos,-2.2369,42.3191,158141
Dark Seer,-2.5688,50.8718,20990
Undying,-2.7568,46.3896,29983
Pugna,-2.8676,49.5091,45537
Io,-3.0938,60.6131,14972
Nature's Prophet,-4.2432,52.986,60565
Lone Druid,-4.3177,56.8411,17709
Beastmaster,-4.641,51.2209,15726
Leshrac,-5.2282,49.3581,18307
Chen,-7.4131,50.3714,9692
