Terrorblade,6.1987,53.5447,3216
Phantom Lancer,5.3098,50.4142,6276
Chaos Knight,3.5628,44.8342,6185
Brewmaster,3.1304,48.7932,1533
Dragon Knight,3.1226,49.3185,5063
Spectre,3.0427,42.154,6360
Phantom Assassin,2.8074,45.0255,20977
Axe,2.6798,46.146,12896
Broodmother,2.6157,58.0095,2522
Winter Wyvern,2.6067,49.2163,2552
Treant Protector,2.5702,48.5638,3029
Underlord,2.4532,42.4217,2461
Elder Titan,2.3765,47.4984,1619
Clockwerk,2.3087,47.2907,3728
Centaur Warrunner,2.2344,43.3793,3912
Shadow Demon,2.1197,52.3595,1780
Meepo,2.0223,52.5331,3316
Riki,1.9533,43.4738,9891
Troll Warlord,1.938,45.4812,9206
Alchemist,1.8701,53.7005,5810
Sand King,1.75,49.0018,6863
Bristleback,1.713,49.1517,10315
Tusk,1.6741,55.361,3199
Abaddon,1.5664,43.6682,2906
Undying,1.5033,46.2994,2905
Morphling,1.4821,51.6692,4583
Dazzle,1.2371,47.2732,3594
Tidehunter,1.1751,46.7213,3782
Lone Druid,1.0989,57.754,1683
Arc Warden,1.0835,52.0163,1959
Lich,1.0626,43.378,4991
Magnus,1.0401,52.8161,5504
Omniknight,1.0319,42.6811,4058
Nature's Prophet,0.8589,53.9273,6824
Io,0.8167,60.433,1524
Legion Commander,0.6933,48.4094,15435
Tiny,0.6877,50.4765,5456
Weaver,0.6704,45.8301,7770
Jakiro,0.6499,43.7884,4387
Viper,0.6387,45.7996,9642
Earth Spirit,0.6261,54.695,2492
Beastmaster,0.6244,52.4759,1353
Earthshaker,0.5123,45.7413,15439
Oracle,0.4731,55.0203,1474
Naga Siren,0.4611,52.9593,1622
Spirit Breaker,0.4055,40.7594,11509
Kunkka,0.3962,48.6101,8778
Mirana,0.39,45.5736,11217
Invoker,0.3882,48.7,20386
Venomancer,0.3571,44.523,7778
Phoenix,0.2972,46.9696,2310
Slark,0.2798,48.641,10633
Bane,0.2638,49.8298,2057
Visage,0.246,47.2243,1315
Night Stalker,0.242,46.9245,4162
Medusa,0.2133,49.9864,3695
Sven,0.2042,43.7867,12755
Templar Assassin,0.1923,51.0098,4456
Warlock,0.1615,44.1732,2540
Sniper,0.1432,45.1249,18892
Shadow Shaman,0.1427,42.9536,7550
Lycan,0.0254,48.7951,2490
Anti-Mage,0.0183,46.8059,13071
Slardar,0.0007,45.5748,7480
Wraith King,-0.012,40.2845,8363
Dark Seer,-0.0523,49.0431,1829
Bounty Hunter,-0.075,47.3086,6075
Clinkz,-0.0969,46.8675,5874
Windranger,-0.2117,46.5226,10511
Rubick,-0.2187,50.0302,6610
Faceless Void,-0.2866,46.3738,9266
Monkey King,-0.2973,48.5493,12408
Vengeful Spirit,-0.4001,43.4521,4490
Enigma,-0.6039,44.5432,4160
Shadow Fiend,-0.6527,47.641,11255
Puck,-0.6637,52.6731,4302
Disruptor,-0.7666,45.7164,3992
Witch Doctor,-0.783,45.2678,4480
Enchantress,-0.8442,51.0958,2327
Lion,-0.8571,47.7292,7861
Nyx Assassin,-0.8851,45.6509,5507
Tinker,-0.8921,48.1007,6792
Lina,-0.8981,49.9168,7214
Storm Spirit,-0.9187,47.4749,5980
Death Prophet,-1.0369,48.7232,2898
Ember Spirit,-1.0721,49.0512,4954
Zeus,-1.1497,38.6574,7106
Techies,-1.2067,46.5524,2451
Luna,-1.2354,43.6527,6877
Keeper of the Light,-1.2934,46.3844,5905
Juggernaut,-1.307,46.9959,12999
Pudge,-1.3146,43.3381,22629
Crystal Maiden,-1.3968,40.3796,8061
Necrophos,-1.4213,38.8213,16460
Ancient Apparition,-1.423,42.5217,3791
Ogre Magi,-1.6375,42.6068,6736
Razor,-1.6538,48.0194,3080
Batrider,-1.7149,51.6178,1947
Queen of Pain,-1.8233,50.3024,5952
Lifestealer,-1.8357,47.7701,6144
Silencer,-1.9953,41.1013,7046
Ursa,-2.0951,40.4495,8675
Bloodseeker,-2.2937,40.9968,15028
Huskar,-2.3106,45.8944,6820
Drow Ranger,-2.495,42.3891,7693
Doom,-2.5555,47.9064,2866
Leshrac,-2.898,47.3518,1586
Outworld Devourer,-3.425,44.8043,5649
Pugna,-3.6052,44.4628,4235
Skywrath Mage,-3.6693,41.5966,4760
Gyrocopter,-3.8264,45.8385,2415
Chen,-4.7118,49.0588,850
