Terrorblade,3.3788,51.7123,4380
Phantom Assassin,3.2801,46.2939,31570
Outworld Devourer,2.7822,52.0626,6642
Winter Wyvern,2.5989,50.1969,3554
Venomancer,2.4835,47.5243,10563
Lich,2.4585,45.6413,6814
Slardar,2.3297,48.8418,9541
Necrophos,2.1804,42.8858,23411
Bloodseeker,2.1381,45.9485,22449
Disruptor,1.9339,49.3949,6280
Troll Warlord,1.9261,46.3584,12893
Magnus,1.8008,54.7134,7521
Luna,1.6519,47.4132,9742
Vengeful Spirit,1.5422,46.2981,6132
Dazzle,1.5225,48.5127,5211
Earthshaker,1.5043,47.5795,22289
Underlord,1.5025,42.3529,2720
Ancient Apparition,1.4724,46.3558,4912
Meepo,1.4287,53.0445,4894
Drow Ranger,1.4089,47.124,10814
Sniper,1.3997,47.1429,30363
Omniknight,1.3468,43.8373,5436
Shadow Demon,1.3192,52.6167,2484
Sven,1.3084,45.7035,17817
Nature's Prophet,1.292,55.5372,9707
Witch Doctor,1.2776,48.2894,6080
Shadow Fiend,1.2548,50.4489,18153
Morphling,1.1998,52.4566,6167
Monkey King,1.1751,51.0414,13395
Clinkz,1.1109,49.0349,8549
Mirana,1.1008,47.153,17475
Gyrocopter,1.084,51.8979,3056
Jakiro,1.0795,45.079,6198
Phantom Lancer,1.0648,47.1513,8074
Oracle,1.018,56.7824,2101
Elder Titan,0.9713,46.9914,2094
Rubick,0.9401,52.2393,10092
Faceless Void,0.8738,48.4558,13373
Timbersaw,0.8333,51.8992,6792
Crystal Maiden,0.8181,43.3341,12189
Riki,0.6602,43.0353,14746
Ogre Magi,0.6591,45.7506,9731
Keeper of the Light,0.643,49.3305,7170
Arc Warden,0.6337,52.6612,2837
Chaos Knight,0.6322,42.7538,7887
Kunkka,0.6013,49.8228,12139
Viper,0.581,46.6556,13949
Silencer,0.5255,44.4288,9944
Axe,0.4715,44.949,15789
Ursa,0.4626,43.8532,9379
Abaddon,0.349,43.3235,3400
Windranger,0.3479,48.0081,15689
Enigma,0.3328,46.3993,5735
Enchantress,0.3258,53.3949,3137
Lone Druid,0.1773,58.0631,2344
Sand King,0.1655,48.417,9255
Shadow Shaman,0.0887,43.7286,11130
Lion,0.0455,49.6133,12025
Techies,0.0341,48.8,3625
Dragon Knight,-0.0228,47.1295,5905
Legion Commander,-0.0855,48.6648,23331
Huskar,-0.161,49.0127,9116
Centaur Warrunner,-0.1625,41.8221,4555
Lina,-0.1651,51.7149,10496
Dark Seer,-0.1705,49.9398,2493
Io,-0.2581,60.5936,1954
Weaver,-0.264,45.8217,10794
Queen of Pain,-0.5037,52.7241,8810
Bounty Hunter,-0.5396,47.8142,8418
Earth Spirit,-0.5521,54.6987,3735
Bristleback,-0.5525,47.9585,12173
Death Prophet,-0.6013,50.1912,3921
Visage,-0.6151,47.286,1916
Brewmaster,-0.6216,45.8771,1807
Tidehunter,-0.634,45.8245,4718
Bane,-0.6595,49.9139,2905
Broodmother,-0.6679,55.7412,2813
Undying,-0.6703,45.0316,3160
Batrider,-0.6762,53.8433,2784
Puck,-0.8703,53.6729,7460
Razor,-0.8823,49.8152,3519
Spirit Breaker,-0.896,40.2594,16652
Clockwerk,-0.9226,44.8555,6298
Lycan,-0.9765,48.771,3092
Tusk,-1.0104,53.767,4181
Warlock,-1.1276,43.7317,3430
Phoenix,-1.2748,46.306,3032
Leshrac,-1.2845,50.0263,1895
Wraith King,-1.3085,39.7716,11649
Night Stalker,-1.3202,46.2889,5524
Ember Spirit,-1.3671,49.7874,6823
Templar Assassin,-1.4767,50.3918,6253
Juggernaut,-1.5349,47.7498,20243
Pugna,-1.5586,47.4907,6237
Doom,-1.7366,49.7676,3659
Invoker,-1.753,47.7575,37883
Chen,-1.801,53.1802,1132
Skywrath Mage,-1.8093,44.3452,6499
Naga Siren,-1.8204,51.6605,1897
Zeus,-1.8753,38.6057,11519
Slark,-2.0045,47.4276,14403
Beastmaster,-2.0132,50.8078,1671
Alchemist,-2.0908,50.8221,7359
Tiny,-2.1253,48.6849,7224
Medusa,-2.1891,48.5696,4824
Spectre,-2.2098,37.5207,10858
Nyx Assassin,-2.2774,45.1336,10028
Treant Protector,-2.4879,44.3331,3494
Anti-Mage,-2.965,44.9375,21788
Storm Spirit,-2.9684,46.3897,10955
Lifestealer,-2.9756,47.6353,8458
Pudge,-3.0108,42.73,33604
