Phantom Lancer,3.1838,48.0697,98172
Anti-Mage,2.4149,49.067,203287
Slark,2.1948,50.6425,149803
Faceless Void,1.9521,48.6599,132310
Ursa,1.8006,44.4778,109857
Meepo,1.7152,52.6597,45418
Broodmother,1.6472,56.7632,34244
Troll Warlord,1.5275,45.3198,137730
Pugna,1.3909,49.4883,64201
Naga Siren,1.3074,53.8133,25319
Ember Spirit,1.2624,51.3522,75504
Abaddon,1.1719,43.0505,45061
Bounty Hunter,1.1707,48.2727,100740
Riki,1.1606,42.6556,159988
Tinker,1.1302,50.2639,97374
Chaos Knight,1.0981,42.0407,97189
Nyx Assassin,1.0327,47.5952,79716
Bloodseeker,1.0159,43.8628,240397
Elder Titan,0.9338,45.9683,26044
Phantom Assassin,0.8834,43.3775,313298
Night Stalker,0.8637,47.4962,57773
Morphling,0.8232,50.6925,67653
Puck,0.8128,54.3878,63402
Ancient Apparition,0.7157,44.7844,51634
Bane,0.6743,50.8557,31377
Invoker,0.5774,48.8114,290430
Tusk,0.5769,54.3528,49381
Lina,0.5703,51.4602,108031
Arc Warden,0.5692,51.222,31301
Monkey King,0.556,49.4132,159621
Treant Protector,0.5311,46.4111,41378
Earth Spirit,0.52,54.3352,36722
Legion Commander,0.4815,48.2365,222833
Lycan,0.4758,49.2097,37521
Timbersaw,0.4117,50.3609,74389
Spirit Breaker,0.3809,40.7815,175783
Centaur Warrunner,0.3641,41.5784,57525
Clinkz,0.3584,47.2347,101709
Queen of Pain,0.356,52.5051,88239
Earthshaker,0.2895,45.5135,210098
Juggernaut,0.2847,48.4538,201342
Nature's Prophet,0.2478,53.2533,91735
Storm Spirit,0.2306,48.6304,82802
Keeper of the Light,0.2152,47.9325,61647
Magnus,0.2009,51.9091,77129
Axe,0.1952,43.8099,178907
Skywrath Mage,0.1908,45.3733,75033
Chen,0.1786,53.9719,12475
Beastmaster,0.1783,51.9267,20527
Lone Druid,0.1654,57.363,26015
Zeus,0.1279,39.566,117209
Brewmaster,0.1132,45.9506,24189
Drow Ranger,0.1101,44.8913,133743
Dark Seer,0.1025,49.3219,28170
Kunkka,0.1015,48.4056,121614
Shadow Shaman,0.0941,42.6616,117738
Leshrac,0.0888,50.5386,25064
Alchemist,0.0433,52.2564,78199
Techies,0.0352,47.8218,41916
Warlock,-0.0159,43.8376,40764
Tidehunter,-0.0318,45.629,55320
Pudge,-0.045,44.3382,322534
Silencer,-0.0508,42.9911,104389
Clockwerk,-0.0531,45.0572,56608
Sven,-0.0602,43.1988,190748
Omniknight,-0.0768,41.7172,61586
Sniper,-0.1331,44.9168,316051
Sand King,-0.1486,47.0294,99191
Mirana,-0.1572,45.0812,173529
Rubick,-0.1627,50.2442,97014
Outworld Devourer,-0.1783,48.0865,72877
Visage,-0.2024,46.2985,20141
Oracle,-0.2259,54.7744,22505
Shadow Fiend,-0.2473,48.1251,173136
Doom,-0.2586,50.1921,46322
Luna,-0.2639,44.4868,111824
Slardar,-0.2695,45.1953,102942
Vengeful Spirit,-0.287,43.4022,73616
Underlord,-0.311,39.7126,36127
Undying,-0.3199,44.471,41319
Lion,-0.3261,48.3206,110489
Enigma,-0.3819,44.8225,61304
Disruptor,-0.3963,46.2754,58746
Lich,-0.4191,41.7152,77468
Windranger,-0.4437,46.4158,166288
Shadow Demon,-0.4567,50.0093,26697
Terrorblade,-0.4619,46.5588,52918
Phoenix,-0.502,46.3601,35496
Weaver,-0.5231,44.6889,123196
Spectre,-0.5473,38.3633,93962
Jakiro,-0.6215,42.3075,65759
Witch Doctor,-0.6331,45.4945,71092
Winter Wyvern,-0.638,45.9569,38882
Gyrocopter,-0.6824,48.9016,41698
Death Prophet,-0.6972,49.1698,46860
Batrider,-0.7188,52.7002,27220
Razor,-0.9769,48.8467,50380
Ogre Magi,-0.9994,43.2486,96373
Dazzle,-1.0028,45.1013,54688
Medusa,-1.0884,49.0116,59745
Wraith King,-1.1355,38.9956,133207
Dragon Knight,-1.1612,45.0823,75757
Crystal Maiden,-1.1769,40.7897,121778
Enchantress,-1.3213,50.7979,40415
Templar Assassin,-1.5319,49.3848,69254
Venomancer,-1.5451,42.5565,114107
Io,-1.5615,58.1731,21797
Huskar,-1.811,46.4882,108479
Bristleback,-1.9903,45.5704,137677
Necrophos,-2.2419,37.8265,226410
Viper,-2.3663,42.8215,158049
Lifestealer,-2.4981,47.0494,97185
