Tinker,2.8459,55.6668,3494
Templar Assassin,2.2643,56.9191,2363
Storm Spirit,2.14,54.4172,3192
Centaur Warrunner,2.1396,47.4686,1995
Wraith King,2.0913,46.496,4338
Ogre Magi,1.9857,50.2228,3815
Spectre,1.9477,45.2941,3230
Riki,1.9108,47.5581,5549
Sand King,1.8771,53.0853,3468
Techies,1.8357,53.5877,1310
Legion Commander,1.7443,53.3414,7437
Mirana,1.6527,50.8,5750
Shadow Fiend,1.4616,53.5819,5793
Kunkka,1.3713,53.4893,4657
Arc Warden,1.371,56.1553,1056
Spirit Breaker,1.3318,45.8312,6129
Medusa,1.3008,54.9671,2134
Pugna,1.2622,53.2994,2167
Sven,1.2454,48.8395,5946
Earthshaker,1.2068,50.4074,7731
Clockwerk,1.1783,50.196,2040
Queen of Pain,1.1238,57.0286,3251
Axe,1.1159,48.7579,5636
Keeper of the Light,1.0903,52.7394,2683
Alchemist,0.9979,56.6425,2770
Io,0.945,64.1266,853
Invoker,0.9423,53.1247,10449
Skywrath Mage,0.9256,50.238,2520
Shadow Demon,0.8909,54.9904,1042
Brewmaster,0.8667,50.5096,883
Zeus,0.7991,44.7779,4031
Morphling,0.7799,54.8425,2540
Lifestealer,0.7661,54.2473,3202
Silencer,0.7212,47.8807,3657
Bane,0.6981,54.186,1290
Lion,0.6914,53.166,4264
Razor,0.6352,54.2424,1650
Weaver,0.6112,49.812,4256
Windranger,0.5308,51.2186,5949
Dragon Knight,0.5177,50.7346,2450
Nature's Prophet,0.3896,57.2442,3665
Troll Warlord,0.3871,48.078,4969
Naga Siren,0.2544,56.5517,870
Sniper,0.1473,49.1582,9504
Night Stalker,0.1235,50.8169,2387
Luna,0.0924,49.0139,3803
Tusk,0.0595,57.4898,1729
Lina,-0.0133,54.6511,3956
Venomancer,-0.0173,48.2429,4297
Tiny,-0.0983,53.5977,2849
Visage,-0.185,50.7894,760
Nyx Assassin,-0.2023,50.3417,2926
Faceless Void,-0.2193,50.4442,4952
Viper,-0.2287,49.0111,5107
Crystal Maiden,-0.3461,45.5775,4805
Puck,-0.3778,56.759,2382
Anti-Mage,-0.3825,50.4208,7009
Warlock,-0.4065,47.6884,1579
Abaddon,-0.4397,45.8196,1519
Meepo,-0.4767,53.8812,1533
Winter Wyvern,-0.5082,50.0681,1468
Vengeful Spirit,-0.5817,47.3832,2484
Disruptor,-0.5857,49.9156,2372
Batrider,-0.6154,56.5492,1107
Ember Spirit,-0.6298,53.3951,2695
Juggernaut,-0.7492,51.4731,6856
Pudge,-0.7503,47.8807,11136
Chaos Knight,-0.7691,44.7469,2865
Oracle,-0.8663,57.4468,893
Phantom Assassin,-0.9106,45.8243,9687
Bristleback,-0.9253,50.6122,4410
Rubick,-0.9408,53.2199,3587
Drow Ranger,-0.9412,47.9857,4220
Clinkz,-1.0681,49.9126,3434
Bounty Hunter,-1.0923,50.3018,4141
Underlord,-1.0989,43.0888,1295
Phantom Lancer,-1.1339,48.1098,3095
Dazzle,-1.136,48.9236,2044
Witch Doctor,-1.1598,48.9344,2534
Doom,-1.1956,53.2002,1703
Enigma,-1.228,47.9927,2192
Bloodseeker,-1.2558,46.0855,8226
Huskar,-1.2567,50.9112,3402
Tidehunter,-1.3051,48.2929,2021
Magnus,-1.315,54.3253,2809
Monkey King,-1.4113,51.4639,5328
Outworld Devourer,-1.4422,50.7747,2517
Beastmaster,-1.4589,54.2168,830
Jakiro,-1.465,45.8137,2556
Ancient Apparition,-1.4677,46.6033,2105
Ursa,-1.4983,45.2467,3850
Omniknight,-1.5963,44.241,2240
Elder Titan,-1.615,47.5,920
Shadow Shaman,-1.6201,45.3856,4356
Lich,-1.8658,44.6298,2877
Slardar,-1.8765,47.8193,3875
Earth Spirit,-1.9405,55.8866,1376
Enchantress,-2.1353,53.6654,1405
Dark Seer,-2.182,50.8445,1184
Necrophos,-2.2082,42.3052,7999
Broodmother,-2.2102,56.7949,1273
Lycan,-2.2257,50.4867,1438
Gyrocopter,-2.2671,51.3888,1440
Phoenix,-2.3902,48.2839,1282
Timbersaw,-2.5111,51.4361,3029
Lone Druid,-2.681,57.6339,989
Undying,-3.0516,45.8121,1576
Chen,-3.0724,54.5988,511
Death Prophet,-3.1599,50.5315,1599
Leshrac,-3.1628,51.0395,962
Slark,-3.3269,49.1793,5118
Terrorblade,-3.879,47.4004,1808
