Lycan,4.158,59.9734,4512
Anti-Mage,3.2533,56.5061,28496
Abaddon,2.4271,50.9958,4820
Legion Commander,2.3882,56.7414,30928
Phoenix,2.1868,55.6585,4745
Lifestealer,2.0579,58.6314,12495
Huskar,1.9759,57.015,14861
Meepo,1.7887,59.1962,5524
Weaver,1.4749,53.1652,15354
Undying,1.4669,52.8481,4740
Ursa,1.4664,50.3433,16745
Clinkz,1.3849,55.0242,12967
Sven,1.3826,51.3435,27949
Omniknight,1.3505,49.334,7883
Medusa,1.3178,57.9813,6985
Riki,1.2646,49.0985,20689
Elder Titan,1.1465,52.8241,2815
Phantom Assassin,1.136,49.945,45490
Silencer,0.9705,50.4439,12501
Spectre,0.8745,46.1585,11402
Templar Assassin,0.7622,58.5857,8584
Wraith King,0.7359,47.1953,17275
Juggernaut,0.6743,55.5682,28106
Alchemist,0.639,59.5298,10210
Monkey King,0.5993,56.2432,19517
Chaos Knight,0.5644,48.1174,11474
Faceless Void,0.545,53.8351,18200
Terrorblade,0.408,54.3837,6296
Nyx Assassin,0.3905,53.5428,9512
Shadow Demon,0.3359,57.4284,3352
Dazzle,0.3327,52.9564,6951
Techies,0.3181,54.8939,4904
Storm Spirit,0.2366,55.3521,11089
Bloodseeker,0.2283,49.7141,31655
Brewmaster,0.1771,52.3233,2647
Vengeful Spirit,0.0476,50.3469,8215
Morphling,-0.0221,57.04,9034
Invoker,-0.0323,55.002,39504
Kunkka,-0.0615,54.8772,14824
Ember Spirit,-0.0813,56.8842,9115
Spirit Breaker,-0.0882,46.4643,23037
Dragon Knight,-0.1458,52.6522,8898
Tidehunter,-0.167,51.9536,6296
Gyrocopter,-0.2346,56.3918,4451
Drow Ranger,-0.2441,51.0814,15673
Disruptor,-0.2588,52.8378,7629
Luna,-0.2973,51.0743,14009
Phantom Lancer,-0.3179,51.347,11841
Ogre Magi,-0.3576,50.3006,12471
Death Prophet,-0.3704,56.2358,5733
Viper,-0.3712,51.3385,20731
Sniper,-0.5184,51.0097,39614
Shadow Fiend,-0.5371,54.4593,21640
Night Stalker,-0.5381,52.7821,7584
Enchantress,-0.5383,58.4355,4564
Razor,-0.5396,56.0563,6101
Bristleback,-0.5647,53.653,19080
Witch Doctor,-0.5703,52.0484,8592
Treant Protector,-0.593,51.9375,4929
Ancient Apparition,-0.6163,49.793,6282
Rubick,-0.631,56.3839,11991
Arc Warden,-0.6311,57.2199,3705
Tusk,-0.6504,60.0362,5515
Puck,-0.6769,59.7022,8127
Centaur Warrunner,-0.7866,46.5898,6598
Lone Druid,-0.7881,63.1412,3158
Warlock,-0.8175,49.5936,4799
Zeus,-0.8258,45.0882,13478
Bounty Hunter,-0.8531,53.1801,12185
Queen of Pain,-0.9138,58.1391,11199
Earthshaker,-0.9179,50.8856,26648
Slardar,-0.9181,51.203,11845
Pudge,-0.95,50.0587,40838
Leshrac,-0.9748,56.1516,2796
Io,-0.9955,66.0165,2666
Skywrath Mage,-0.9958,50.7665,8740
Broodmother,-1.0168,61.4296,4099
Keeper of the Light,-1.0589,53.2777,8390
Jakiro,-1.0647,48.4345,8081
Underlord,-1.0889,44.9855,4148
Enigma,-1.2086,50.4111,8026
Mirana,-1.2269,50.4893,19923
Lich,-1.2659,47.3364,9874
Doom,-1.286,56.0497,5149
Beastmaster,-1.2931,57.412,2388
Magnus,-1.2965,57.4062,9546
Chen,-1.3866,59.5189,1455
Necrophos,-1.4516,44.8864,28757
Earth Spirit,-1.4534,59.657,4432
Clockwerk,-1.456,49.9771,6569
Crystal Maiden,-1.4941,46.5202,15935
Naga Siren,-1.4962,57.8754,2730
Lina,-1.503,56.1666,13565
Sand King,-1.5337,52.3699,12068
Venomancer,-1.5611,49.0469,14007
Dark Seer,-1.6124,54.1797,3505
Nature's Prophet,-1.6291,58.4491,12019
Lion,-1.6373,53.6215,14690
Shadow Shaman,-1.6918,47.4503,15218
Slark,-1.809,53.3287,20158
Windranger,-1.8768,51.4906,21501
Bane,-1.9812,54.2946,4168
Tinker,-2.0306,53.6974,12779
Timbersaw,-2.3108,54.4378,9126
Oracle,-2.3616,59.2567,2960
Outworld Devourer,-2.4106,52.4673,9038
Tiny,-2.4319,54.142,10321
Axe,-2.4482,47.6406,24032
Pugna,-2.7921,51.9049,7533
Visage,-2.8695,50.5857,2390
Winter Wyvern,-3.4136,49.5772,5204
Batrider,-4.349,55.8535,3468
