Chaos Knight,4.0842,54.8475,40680
Spirit Breaker,2.8909,53.0241,77972
Meepo,2.3957,62.7655,18644
Visage,2.3487,58.5589,9937
Puck,2.2025,65.1033,28444
Shadow Demon,1.7389,61.7431,13080
Wraith King,1.7087,51.6535,52190
Riki,1.7079,52.9989,64305
Sand King,1.6422,58.402,47774
Phantom Lancer,1.5955,56.1952,38957
Dragon Knight,1.5652,57.476,30959
Tidehunter,1.4879,56.8541,27560
Night Stalker,1.4787,57.765,28197
Templar Assassin,1.4634,61.8401,28758
Spectre,1.4459,50.3026,45761
Lion,1.4238,59.5771,46966
Slardar,1.3609,56.4868,44945
Storm Spirit,1.3515,59.2966,38955
Weaver,1.198,56.0724,51091
Razor,1.1251,60.4946,21916
Terrorblade,1.1231,57.8083,23097
Naga Siren,1.0939,62.9656,11006
Axe,1.0854,54.3937,74685
Phantom Assassin,1.072,53.2663,114990
Venomancer,1.0643,54.872,63484
Treant Protector,1.0453,56.6259,19650
Mirana,1.0106,55.8751,76517
Morphling,0.9447,60.3167,30620
Ogre Magi,0.8766,54.8333,43862
Centaur Warrunner,0.7918,51.9174,27902
Tiny,0.7903,60.2873,36127
Windranger,0.7749,57.2098,68254
Faceless Void,0.7439,57.1165,60240
Tusk,0.6645,63.7757,22438
Warlock,0.6357,54.2861,20403
Techies,0.6253,58.015,15920
Shadow Shaman,0.6124,52.9768,55445
Nyx Assassin,0.5735,56.7909,42093
Medusa,0.5277,60.1537,27315
Disruptor,0.5137,56.8433,30336
Brewmaster,0.4609,56.029,11287
Winter Wyvern,0.4055,56.6704,18477
Legion Commander,0.3873,57.7397,90352
Luna,0.3861,54.8642,47829
Dazzle,0.3243,56.1134,23939
Queen of Pain,0.3225,61.8846,39126
Earthshaker,0.2462,55.1669,100582
Bane,0.2423,59.9256,14251
Omniknight,0.2322,51.899,27540
Lycan,0.1906,58.5058,16759
Troll Warlord,0.1367,53.7328,55119
Abaddon,-0.0253,51.733,22013
Silencer,-0.0257,52.8203,51200
Crystal Maiden,-0.029,51.7557,53710
Sven,-0.0313,52.9835,73234
Slark,-0.0964,58.0058,60418
Magnus,-0.0964,61.0563,35518
Clockwerk,-0.1248,54.7278,29908
Vengeful Spirit,-0.1883,53.3188,32707
Dark Seer,-0.1963,58.5979,14108
Earth Spirit,-0.2028,62.9884,18605
Arc Warden,-0.209,59.9296,14492
Jakiro,-0.253,52.4975,32832
Kunkka,-0.2862,57.6159,58515
Shadow Fiend,-0.2904,57.6651,71473
Gyrocopter,-0.3271,58.8199,17931
Keeper of the Light,-0.3344,56.9972,29426
Undying,-0.3388,54.243,20622
Alchemist,-0.3969,61.2349,32163
Phoenix,-0.5549,55.9937,18536
Viper,-0.6535,54.1835,64562
Lich,-0.6826,51.3162,37569
Elder Titan,-0.6848,54.0866,13018
Necrophos,-0.7287,49.1898,106961
Chen,-0.7698,62.3937,6116
Bounty Hunter,-0.7701,56.0045,42418
Bristleback,-0.7799,56.3748,53907
Invoker,-0.8284,57.1376,118365
Ancient Apparition,-0.8321,53.0012,27205
Lina,-0.8431,59.5569,47311
Doom,-0.9343,59.0474,23349
Monkey King,-0.9688,57.525,69787
Zeus,-0.9706,48.4678,52835
Nature's Prophet,-1.0305,61.3867,40297
Skywrath Mage,-1.1233,53.8055,33123
Death Prophet,-1.2286,58.1806,20249
Lifestealer,-1.2567,57.8499,38204
Ember Spirit,-1.2911,58.3438,37291
Broodmother,-1.3417,63.0321,16068
Rubick,-1.3868,58.5544,44953
Outworld Devourer,-1.468,56.4186,33239
Enigma,-1.4756,53.4743,26796
Lone Druid,-1.4759,64.8948,11457
Io,-1.5561,67.3278,10385
Beastmaster,-1.6377,59.5716,10458
Leshrac,-1.6428,58.3121,11790
Oracle,-1.6465,62.6835,10963
Witch Doctor,-1.648,54.1983,32525
Batrider,-1.691,61.1333,13235
Bloodseeker,-1.7383,51.1372,101163
Drow Ranger,-1.7494,52.8458,50002
Tinker,-1.8164,56.9228,39680
Juggernaut,-2.1454,55.7847,80366
Enchantress,-2.2193,59.3394,16441
Pugna,-2.2668,55.4604,30712
Timbersaw,-2.3048,57.2089,33694
Clinkz,-2.3091,54.2821,39396
Anti-Mage,-2.3151,54.292,81395
Pudge,-2.4401,51.9865,139940
Ursa,-2.5123,50.1191,47405
Huskar,-3.1181,54.8434,41303
Sniper,-4.7721,50.4657,114325
