Spectre,6.6895,51.0313,3539
Tidehunter,5.7296,56.3996,2172
Visage,3.377,55.5276,796
Oracle,3.1388,62.6136,880
Treant Protector,3.0526,54.1878,1576
Clockwerk,3.0085,53.1423,2164
Chen,2.8644,61.7529,502
Dazzle,2.8344,53.9903,2080
Night Stalker,2.4161,54.2168,2324
Magnus,2.2309,58.9298,2822
Wraith King,2.2179,47.7507,4446
Batrider,2.2039,60.5142,1089
Ogre Magi,2.047,51.4148,3746
Shadow Demon,1.9682,57.2101,1061
Chaos Knight,1.8562,48.446,3121
Pudge,1.8476,51.2533,11250
Abaddon,1.7988,49.1831,1714
Centaur Warrunner,1.7826,48.2432,2220
Underlord,1.7619,47.0839,1406
Omniknight,1.7573,48.6892,2327
Axe,1.6615,50.4028,6206
Rubick,1.5787,56.7867,3610
Arc Warden,1.5475,57.4702,1091
Bane,1.5377,56.1633,1298
Lion,1.5334,55.1085,4052
Earth Spirit,1.4718,60.4289,1352
Storm Spirit,1.4709,54.8969,3104
Broodmother,1.2656,61.4197,1296
Lifestealer,1.1304,55.7335,3183
Winter Wyvern,1.0936,52.8011,1428
Brewmaster,1.0536,51.8348,872
Invoker,0.9909,54.3239,9644
Morphling,0.9632,56.1547,2559
Tinker,0.9549,54.9683,3160
Enigma,0.9012,51.2283,2198
Puck,0.8736,59.1208,2275
Leshrac,0.8556,56.2303,955
Bristleback,0.8049,53.3841,5112
Templar Assassin,0.7628,56.5687,2314
Beastmaster,0.7357,57.5928,889
Naga Siren,0.7124,58.1621,925
Nyx Assassin,0.6936,52.3492,3150
Tusk,0.6931,59.2671,1883
Lycan,0.6569,54.5048,1343
Warlock,0.6167,49.8461,1625
Dark Seer,0.527,54.7092,1221
Alchemist,0.4603,57.2461,2905
Sand King,0.3963,52.7785,3833
Viper,0.3784,50.717,5160
Necrophos,0.3648,45.7697,7931
Venomancer,0.3361,49.7187,4622
Disruptor,0.3317,51.9541,2354
Spirit Breaker,0.3006,45.9966,6020
Phoenix,0.2996,52.1195,1439
Io,0.2622,64.5856,881
Techies,0.197,53.0775,1251
Witch Doctor,0.1767,51.3836,2674
Kunkka,0.1533,53.4575,4671
Razor,0.1423,54.8922,1809
Crystal Maiden,0.1263,47.1544,4551
Death Prophet,0.1051,54.9194,1677
Vengeful Spirit,0.0468,49.1365,2548
Jakiro,0.0217,48.4117,2487
Elder Titan,-0.0207,50.242,1033
Tiny,-0.0386,54.7881,2997
Doom,-0.0574,55.4687,1664
Slark,-0.0711,53.3954,4933
Slardar,-0.1613,50.6063,3381
Keeper of the Light,-0.1672,52.6356,2580
Shadow Fiend,-0.3382,53.0244,5720
Zeus,-0.3505,44.797,3844
Phantom Assassin,-0.3562,47.4241,9259
Pugna,-0.3628,52.8286,2404
Skywrath Mage,-0.4049,50.0606,2473
Outworld Devourer,-0.4104,52.9197,2466
Sven,-0.4334,48.3996,5905
Queen of Pain,-0.4539,56.6234,3163
Shadow Shaman,-0.4843,47.599,4040
Ursa,-0.4861,47.3574,3822
Earthshaker,-0.5916,49.9085,8203
Meepo,-0.6006,54.8923,1625
Juggernaut,-0.6221,52.7204,6690
Phantom Lancer,-0.8169,49.552,3237
Gyrocopter,-0.8423,53.9501,1405
Silencer,-0.9288,47.4199,3779
Dragon Knight,-0.9949,50.378,2513
Lich,-1.0029,46.6107,2980
Monkey King,-1.0034,52.9808,5183
Windranger,-1.1128,50.8055,5462
Faceless Void,-1.1477,50.6922,4839
Mirana,-1.1608,49.288,5618
Timbersaw,-1.356,53.7005,2905
Luna,-1.3879,48.7166,3818
Legion Commander,-1.5903,51.4202,7252
Medusa,-1.5932,53.2354,2179
Bounty Hunter,-1.6144,50.9232,3466
Terrorblade,-1.6852,50.7177,1881
Riki,-1.6993,45.2686,5136
Troll Warlord,-1.7903,47.135,4782
Ancient Apparition,-1.8652,47.3449,2241
Drow Ranger,-1.877,48.2111,3941
Nature's Prophet,-1.9183,56.1398,3461
Bloodseeker,-2.3778,46.1812,7856
Huskar,-2.4354,50.8997,3501
Weaver,-2.4537,47.999,4148
Lina,-2.4791,53.4044,3936
Sniper,-2.9626,47.5227,9244
Ember Spirit,-3.2169,51.993,2860
Enchantress,-3.3226,53.6012,1319
Lone Druid,-4.3695,57.0717,1004
Anti-Mage,-4.4598,47.7718,6418
Clinkz,-4.7757,47.4351,3236
