Underlord,2.521,49.8808,47405
Pudge,2.1743,53.585,421804
Timbersaw,2.0659,59.6326,112633
Ember Spirit,1.9154,59.4914,95950
Lifestealer,1.8819,58.9633,129182
Treant Protector,1.4683,54.769,51761
Spectre,1.4255,47.5484,111114
Huskar,1.3902,57.1962,169123
Meepo,1.3819,59.7985,57289
Juggernaut,1.3607,56.8839,279905
Shadow Fiend,1.3411,57.0589,215656
Anti-Mage,1.2857,55.3706,250891
Zeus,1.2839,47.9188,147203
Legion Commander,1.2103,56.3082,309601
Morphling,1.2071,58.5645,87319
Warlock,1.1942,52.4156,50296
Axe,1.1173,52.0038,266867
Phoenix,1.0709,55.3846,46020
Clinkz,0.9174,55.2226,138445
Abaddon,0.8414,50.0213,56176
Tidehunter,0.7938,53.845,69843
Nyx Assassin,0.7596,54.6829,94172
Centaur Warrunner,0.6751,49.1736,73271
Bloodseeker,0.6546,50.8362,355874
Elder Titan,0.6263,53.0301,30890
Omniknight,0.6246,49.6987,84137
Silencer,0.5765,50.8918,122829
Clockwerk,0.5756,53.0429,70573
Disruptor,0.5669,54.6163,73749
Pugna,0.5464,56.0571,80880
Kunkka,0.4807,56.1806,146627
Bounty Hunter,0.4504,54.9625,126124
Ancient Apparition,0.4097,51.7843,65263
Storm Spirit,0.3738,56.1793,104437
Medusa,0.2723,57.8641,73384
Skywrath Mage,0.2587,52.7959,94602
Alchemist,0.2419,60.0977,114392
Rubick,0.2403,58.0386,110697
Doom,0.1949,58.1228,56138
Lycan,0.1259,56.3432,47184
Keeper of the Light,0.0394,55.1347,76206
Chen,0.0151,61.3571,15444
Necrophos,-0.0029,47.0872,294379
Terrorblade,-0.039,54.419,66655
Arc Warden,-0.0457,58.0751,39027
Monkey King,-0.0484,56.2743,213408
Vengeful Spirit,-0.0747,50.9505,92262
Invoker,-0.1045,55.5713,364693
Magnus,-0.1317,59.0275,89421
Earth Spirit,-0.1505,61.1024,42414
Undying,-0.2288,51.9352,51208
Dazzle,-0.2509,53.2286,71670
Spirit Breaker,-0.3258,47.3344,244906
Enigma,-0.333,52.2212,78043
Tusk,-0.3559,60.9544,59656
Tinker,-0.363,56.2023,124420
Faceless Void,-0.3833,53.7611,169481
Puck,-0.4035,60.6327,74059
Sven,-0.414,50.1647,271354
Enchantress,-0.4228,59.3949,57717
Winter Wyvern,-0.4414,53.5486,56515
Night Stalker,-0.4447,53.5687,74325
Queen of Pain,-0.4465,59.1831,106586
Leshrac,-0.4671,57.4583,30563
Luna,-0.4747,51.6197,143635
Dragon Knight,-0.4823,53.1755,103023
Brewmaster,-0.5088,52.7102,31307
Earthshaker,-0.5296,52.0384,242317
Witch Doctor,-0.5495,52.9424,89567
Lich,-0.5583,48.8333,103886
Phantom Assassin,-0.5683,49.3581,415589
Jakiro,-0.5771,49.6295,85582
Visage,-0.6796,53.1914,26211
Mirana,-0.715,51.8529,199138
Bane,-0.7222,56.9323,42085
Crystal Maiden,-0.7246,48.4811,155582
Wraith King,-0.7302,46.6032,179260
Viper,-0.8088,51.6739,240605
Dark Seer,-0.8239,55.8091,34790
Techies,-0.8361,54.366,54775
Ogre Magi,-0.963,50.5805,120234
Death Prophet,-1.0373,56.319,62430
Beastmaster,-1.0557,58.1675,25332
Slark,-1.0617,54.9218,201745
Io,-1.0889,66.3169,26782
Lina,-1.1401,57.2377,135276
Oracle,-1.1834,61.4194,30689
Troll Warlord,-1.2734,49.9291,223561
Riki,-1.3149,47.5169,209881
Drow Ranger,-1.3234,50.8372,172704
Shadow Demon,-1.4013,56.5078,34535
Naga Siren,-1.4807,58.489,31411
Shadow Shaman,-1.5282,48.3253,154596
Gyrocopter,-1.5389,55.5154,51854
Slardar,-1.5472,51.2573,121163
Sniper,-1.5798,50.9342,402641
Razor,-1.609,55.7724,73088
Weaver,-1.6158,50.959,162401
Templar Assassin,-1.6271,56.7893,90008
Lion,-1.6464,54.4223,144110
Sand King,-1.724,52.8289,119622
Broodmother,-1.8618,60.7978,45069
Tiny,-1.9474,55.5221,109857
Lone Druid,-1.9587,62.8103,32622
Outworld Devourer,-1.9979,53.6674,95408
Batrider,-2.037,58.8821,34744
Bristleback,-2.0482,52.9409,207652
Nature's Prophet,-2.1223,58.3833,112294
Windranger,-2.4281,51.8723,215901
Chaos Knight,-2.6914,45.4916,130026
Venomancer,-3.0163,48.3822,143499
Phantom Lancer,-3.9366,48.3143,138315
