Visage,2.1362,55.311,1318
Huskar,1.7086,55.9705,6239
Legion Commander,1.6854,55.4428,12815
Dark Seer,1.5283,56.8028,1933
Enchantress,1.4619,59.5861,2368
Elder Titan,1.15,52.39,1569
Silencer,1.1221,50.3045,6403
Earth Spirit,1.091,61.2811,2451
Clinkz,1.0735,54.1348,5889
Oracle,0.9356,61.6208,1493
Lycan,0.9241,55.8543,2417
Dragon Knight,0.8871,53.2218,4485
Queen of Pain,0.8796,59.0686,5712
Invoker,0.8372,55.186,18164
Dazzle,0.8318,52.9895,3529
Bane,0.7722,56.4857,2174
Ancient Apparition,0.7528,50.8615,3482
Brewmaster,0.7341,52.4857,1408
Death Prophet,0.7057,56.6057,2899
Nyx Assassin,0.6559,53.305,5189
Enigma,0.6286,51.9164,4070
Io,0.6281,66.3513,1480
Juggernaut,0.6195,54.8834,12532
Phoenix,0.59,53.4106,2243
Doom,0.5858,57.2168,2702
Disruptor,0.5758,53.1919,4198
Medusa,0.5336,56.431,3693
Tiny,0.5251,56.4282,5118
Treant Protector,0.5037,52.6167,2484
Drow Ranger,0.4898,51.4371,7689
Timbersaw,0.4433,56.5478,4490
Chen,0.4426,60.517,851
Ursa,0.3892,49.081,6475
Ogre Magi,0.374,50.7235,6703
Monkey King,0.356,55.3155,9444
Slark,0.3508,54.8264,8930
Riki,0.3461,48.0676,9341
Spirit Breaker,0.3382,46.8489,10314
Ember Spirit,0.2813,56.5051,4704
Lifestealer,0.2811,55.9806,5593
Beastmaster,0.2715,58.2723,1366
Lion,0.223,54.8866,7674
Phantom Assassin,0.1792,48.7991,16988
Storm Spirit,0.1484,54.6385,5368
Tusk,0.1192,59.8856,2974
Clockwerk,0.1073,51.2111,3509
Lina,0.1006,56.996,6811
Pudge,0.0824,50.6576,19616
Anti-Mage,0.0674,52.945,12139
Shadow Fiend,0.0425,54.4031,10288
Techies,0.0257,53.9291,2316
Shadow Shaman,0.0234,48.9743,7459
Morphling,0.01,56.3044,4362
Broodmother,-0.0028,61.4027,2210
Undying,-0.0738,50.8634,2548
Troll Warlord,-0.0767,49.6676,8275
Witch Doctor,-0.0842,52.1001,4595
Lone Druid,-0.0919,62.6752,1712
Nature's Prophet,-0.1234,59.0409,6006
Templar Assassin,-0.127,56.7961,4120
Pugna,-0.136,54.0746,3804
Skywrath Mage,-0.1441,51.2665,4461
Crystal Maiden,-0.1634,47.7313,8353
Bloodseeker,-0.1893,49.0492,13252
Razor,-0.2066,55.6321,3045
Underlord,-0.2607,45.8499,2253
Gyrocopter,-0.2623,55.6451,2604
Bristleback,-0.2873,53.3536,8543
Centaur Warrunner,-0.2896,47.0183,3488
Mirana,-0.3322,51.0133,10460
Luna,-0.341,50.6611,6731
Weaver,-0.3538,50.9587,7353
Meepo,-0.3716,56.1922,2705
Winter Wyvern,-0.4314,52.2632,2629
Wraith King,-0.4358,46.024,7646
Omniknight,-0.5026,47.2983,3757
Magnus,-0.5053,57.3734,4957
Shadow Demon,-0.514,55.7983,1785
Keeper of the Light,-0.544,53.2741,4505
Faceless Void,-0.5538,52.245,9599
Tidehunter,-0.5867,51.0888,3490
Necrophos,-0.6663,45.6155,13160
Outworld Devourer,-0.6746,53.6851,4586
Naga Siren,-0.6838,57.9279,1583
Puck,-0.7242,58.7134,4275
Venomancer,-0.7308,49.5979,7337
Earthshaker,-0.7433,50.6977,13401
Viper,-0.7627,50.5769,9360
Kunkka,-0.9676,53.4032,7728
Jakiro,-0.9772,48.3028,4213
Sven,-1.0332,48.746,10965
Arc Warden,-1.0387,55.9652,1844
Spectre,-1.0392,44.293,5651
Batrider,-1.0572,58.4486,2024
Abaddon,-1.1286,47.1049,2677
Leshrac,-1.1714,55.2855,1646
Axe,-1.2229,48.5914,10152
Alchemist,-1.2549,56.6777,4822
Night Stalker,-1.255,51.5604,3877
Windranger,-1.3263,51.5735,9596
Rubick,-1.3637,55.0007,6409
Sand King,-1.371,52.0541,6353
Tinker,-1.4057,53.7018,6132
Sniper,-1.4234,49.8479,18087
Slardar,-1.4926,50.2532,6121
Bounty Hunter,-1.5592,51.9606,5891
Zeus,-1.5862,44.3877,6664
Lich,-1.8609,46.6082,4909
Warlock,-1.9059,48.2108,2599
Chaos Knight,-2.0146,45.4808,5178
Terrorblade,-2.7699,50.6113,3353
Phantom Lancer,-3.8295,47.5113,5525
