Axe,3.4789,52.8963,254921
Ursa,2.9942,51.6177,143499
Templar Assassin,2.9204,60.2123,107159
Slardar,2.6683,54.1426,144607
Razor,2.0658,58.1608,66464
Troll Warlord,2.0427,51.7907,180069
Bristleback,1.5634,55.1098,180249
Night Stalker,1.4246,54.1697,90977
Visage,1.3759,54.0245,32600
Sand King,1.361,54.6351,161892
Tiny,1.2605,57.4434,114107
Riki,1.2075,48.5574,228072
Sven,1.1876,50.2901,238504
Spirit Breaker,1.0328,47.2093,247398
Omniknight,0.9838,48.6472,95506
Winter Wyvern,0.8834,53.5682,62020
Crystal Maiden,0.8459,48.6295,180267
Centaur Warrunner,0.8083,47.8514,91525
Naga Siren,0.7954,59.536,32550
Dazzle,0.7847,52.9555,88427
Monkey King,0.7705,55.7574,236259
Earthshaker,0.7569,51.9266,359555
Lion,0.7552,55.4947,159808
Lich,0.7295,48.7102,130098
Tidehunter,0.6788,52.3894,91654
Vengeful Spirit,0.6659,50.318,102820
Dragon Knight,0.6507,52.9433,95536
Outworld Devourer,0.5647,54.9453,105403
Jakiro,0.564,49.376,112502
Mirana,0.5324,51.7241,287245
Clockwerk,0.5249,51.6443,102470
Nyx Assassin,0.4185,53.0691,154653
Keeper of the Light,0.4093,54.2604,110797
Spectre,0.3988,44.9778,161346
Beastmaster,0.3646,58.3935,28945
Lone Druid,0.3216,63.9924,36609
Leshrac,0.3183,56.9938,34795
Phantom Assassin,0.2805,48.6637,390506
Chen,0.2766,60.4305,18115
Shadow Shaman,0.2269,48.6549,194646
Batrider,0.2238,60.0842,42988
Bane,0.2038,56.5652,44865
Puck,0.1868,60.1296,101055
Death Prophet,0.1833,56.2214,63241
Elder Titan,0.1462,51.163,38776
Medusa,0.1448,56.487,90727
Disruptor,0.1058,52.8423,101924
Treant Protector,0.0947,51.9956,61284
Lifestealer,0.0851,55.7647,121792
Bloodseeker,-0.0418,48.759,340142
Ogre Magi,-0.0421,50.127,151950
Windranger,-0.1037,52.7752,235546
Gyrocopter,-0.1047,55.6594,54413
Shadow Fiend,-0.1158,54.3365,251111
Necrophos,-0.1732,45.5294,388388
Magnus,-0.1801,57.7977,119394
Weaver,-0.2178,50.9714,178341
Io,-0.2267,66.1014,31081
Undying,-0.2346,50.5483,61547
Kunkka,-0.2385,54.1928,199997
Bounty Hunter,-0.2558,52.9157,145244
Ancient Apparition,-0.2751,49.6857,94345
Abaddon,-0.2809,47.394,71990
Wraith King,-0.3147,45.5947,169708
Tusk,-0.331,59.7354,67501
Witch Doctor,-0.3415,51.811,112202
Silencer,-0.3976,48.5113,187789
Enigma,-0.4151,50.7661,87186
Invoker,-0.4277,53.9588,436675
Faceless Void,-0.4348,52.376,207028
Luna,-0.4528,50.2601,153380
Warlock,-0.463,49.2938,67339
Legion Commander,-0.5178,53.3512,312992
Skywrath Mage,-0.5219,50.6344,113399
Underlord,-0.548,45.1279,63484
Techies,-0.5721,53.2623,54117
Doom,-0.5906,56.1269,76090
Ember Spirit,-0.652,55.6862,132715
Timbersaw,-0.6585,55.4352,102599
Shadow Demon,-0.7241,55.961,42090
Juggernaut,-0.7522,53.5442,291600
Enchantress,-0.7672,57.5609,50946
Alchemist,-0.7674,57.6529,104012
Queen of Pain,-0.7993,57.6393,139599
Drow Ranger,-0.8548,49.904,157414
Earth Spirit,-0.881,59.3536,63986
Lina,-0.889,56.2266,163403
Zeus,-0.9421,44.2226,191368
Chaos Knight,-1.0212,45.7788,120750
Phoenix,-1.0292,51.893,62968
Meepo,-1.1927,55.8204,60245
Storm Spirit,-1.2049,53.3018,136997
Brewmaster,-1.3209,50.4809,34102
Morphling,-1.3547,54.6696,104954
Phantom Lancer,-1.3644,49.5039,119639
Pugna,-1.4294,52.7593,109863
Rubick,-1.4874,55.146,177788
Broodmother,-1.5384,59.8149,47010
Slark,-1.572,53.0676,205598
Dark Seer,-1.788,53.5376,44761
Terrorblade,-1.8011,51.234,71880
Oracle,-1.866,59.6266,39479
Clinkz,-1.8983,50.9964,126799
Nature's Prophet,-2.0001,57.2876,138110
Lycan,-2.0369,52.7282,49666
Tinker,-2.1535,53.0837,140073
Viper,-2.2172,48.8921,232604
Pudge,-2.3395,48.2623,527511
Sniper,-2.5319,48.6835,435059
Anti-Mage,-3.3608,49.6162,295605
Arc Warden,-4.1173,52.557,47242
Huskar,-4.3543,49.9669,131749
