Shadow Shaman,2.7959,48.9234,33207
Pudge,2.7083,50.2684,81948
Necrophos,2.5688,46.0467,60419
Invoker,2.5066,53.8247,76777
Clockwerk,2.4573,51.0867,15965
Lion,2.2974,54.2012,28527
Ancient Apparition,2.1955,49.8273,15353
Tinker,2.1338,54.534,25496
Skywrath Mage,2.0469,50.7374,20545
Outworld Devourer,1.9699,53.5804,17456
Techies,1.8834,53.0746,9432
Spirit Breaker,1.63,45.7426,43607
Zeus,1.5803,44.8144,29042
Faceless Void,1.4982,51.6485,33575
Rubick,1.3855,55.0024,26237
Morphling,1.3778,54.5025,18434
Keeper of the Light,1.3588,52.4576,17822
Mirana,1.1538,49.85,43677
Monkey King,1.1105,53.2573,41966
Bane,1.0891,54.5291,9472
Legion Commander,1.0715,52.1949,50434
Silencer,1.0401,47.7034,27302
Night Stalker,1.0387,51.1288,15547
Dazzle,0.9909,50.5959,15857
Windranger,0.9714,51.2038,44317
Crystal Maiden,0.9429,46.5778,33342
Juggernaut,0.9387,52.4548,46642
Troll Warlord,0.8594,48.287,33452
Lifestealer,0.7763,53.6175,20594
Disruptor,0.7404,50.8714,17556
Witch Doctor,0.7208,50.3427,19695
Lina,0.7141,54.8177,27648
Nyx Assassin,0.6737,50.6968,21670
Bounty Hunter,0.6282,51.1757,24537
Ogre Magi,0.5808,48.4026,26575
Lich,0.4872,46.3437,24260
Phantom Assassin,0.4436,46.6053,67488
Wraith King,0.4282,44.3375,29934
Tiny,0.4213,53.7014,20141
Ursa,0.4112,46.8085,26211
Oracle,0.3778,58.4153,7320
Riki,0.335,45.5961,36797
Bloodseeker,0.2403,46.7943,56088
Slardar,0.2041,49.2062,23243
Arc Warden,0.1828,54.0751,9337
Elder Titan,0.1772,48.7769,6827
Viper,0.1099,48.7558,36492
Treant Protector,0.0992,49.5011,11325
Abaddon,0.0697,45.7052,11095
Earthshaker,0.057,48.8392,55652
Queen of Pain,0.0432,55.3586,22907
Tidehunter,-0.0097,49.1938,14142
Sven,-0.0556,46.8383,41671
Slark,-0.1593,51.757,35344
Templar Assassin,-0.2242,53.9448,16680
Timbersaw,-0.2336,53.0133,18003
Shadow Fiend,-0.2516,51.5173,41025
Doom,-0.2608,53.4589,13053
Earth Spirit,-0.3233,56.5746,11917
Puck,-0.3262,56.3399,17224
Vengeful Spirit,-0.3697,46.9997,18515
Anti-Mage,-0.5186,49.7967,47475
Enigma,-0.5962,48.1887,15680
Shadow Demon,-0.667,53.0834,7816
Clinkz,-0.7204,49.6593,25979
Omniknight,-0.7662,44.805,15621
Brewmaster,-0.8416,48.539,6708
Spectre,-0.9054,41.9281,22727
Storm Spirit,-0.9075,50.9019,21288
Meepo,-0.9515,53.223,12333
Winter Wyvern,-1.0128,49.0842,11957
Pugna,-1.081,50.4282,18099
Huskar,-1.1726,50.5481,23989
Io,-1.1858,61.3285,6669
Centaur Warrunner,-1.2585,43.7835,14172
Sand King,-1.4438,49.2386,25482
Magnus,-1.62,53.3247,20197
Tusk,-1.6203,55.2159,12040
Phoenix,-1.6597,48.6993,10610
Batrider,-1.6721,54.8712,8232
Death Prophet,-1.7654,51.432,11487
Venomancer,-1.8147,45.9754,32600
Luna,-1.8935,46.5274,27343
Weaver,-2.2172,46.6573,30186
Jakiro,-2.3049,44.3711,19400
Chaos Knight,-2.3353,42.4984,20709
Ember Spirit,-2.3598,51.0775,19257
Alchemist,-2.393,53.0432,18664
Dragon Knight,-2.4091,47.4107,16414
Sniper,-2.4498,46.4126,67389
Underlord,-2.4873,41.441,9937
Warlock,-2.5046,45.023,11292
Drow Ranger,-2.6938,45.813,29317
Dark Seer,-2.7021,49.8636,8070
Undying,-2.7079,45.7256,10563
Axe,-3.0206,44.413,38518
Nature's Prophet,-3.0961,53.1244,27125
Kunkka,-3.4443,48.4256,34523
Enchantress,-3.4662,51.8614,10395
Terrorblade,-3.7059,46.8479,13166
Broodmother,-3.7147,54.3668,10534
Razor,-3.7302,49.4531,11795
Gyrocopter,-3.8379,49.1033,10205
Medusa,-3.9917,49.475,14001
Phantom Lancer,-4.0152,44.61,21800
Lycan,-4.0568,48.057,9393
Bristleback,-4.18,46.9687,29856
Naga Siren,-4.3736,51.2106,6360
Lone Druid,-4.6162,55.4404,7334
Leshrac,-5.2673,48.4504,7486
Chen,-5.2941,51.5614,4323
Beastmaster,-5.8753,49.0499,6263
