Visage,3.6315,56.5508,748
Spectre,3.2512,48.4587,3601
Enigma,3.0637,54.1347,2612
Elder Titan,2.8243,53.8865,952
Meepo,2.5887,58.8414,1640
Bane,2.4932,57.8947,1292
Chaos Knight,2.28,49.6269,3351
Outworld Devourer,2.11,56.1728,2754
Axe,2.0617,51.542,5966
Techies,2.0236,55.6734,1225
Leshrac,2.0189,58.1818,990
Skywrath Mage,2.015,53.2117,2631
Vengeful Spirit,1.9592,51.7891,2599
Dragon Knight,1.9303,54.0297,2556
Death Prophet,1.7228,57.3065,1745
Wraith King,1.5821,47.8997,4309
Witch Doctor,1.5735,53.5296,2819
Crystal Maiden,1.542,49.2785,4990
Nyx Assassin,1.5377,53.945,3346
Clockwerk,1.5241,52.4419,2109
Sand King,1.5081,54.6261,3945
Tinker,1.5016,56.2682,3430
Ogre Magi,1.4724,51.628,4054
Necrophos,1.4159,47.4832,8066
Winter Wyvern,1.2503,53.7323,1487
Pudge,1.1751,51.4359,10864
Tiny,0.9735,56.5531,2907
Phantom Lancer,0.8755,51.9673,3304
Troll Warlord,0.8288,50.3932,4832
Invoker,0.7833,54.9017,10129
Puck,0.7445,59.7738,2476
Faceless Void,0.6499,53.1698,5300
Windranger,0.6427,53.2292,5574
Zeus,0.6084,46.4849,3926
Night Stalker,0.6047,53.1996,2344
Rubick,0.5032,56.4977,5248
Brewmaster,0.4496,51.9954,877
Dazzle,0.4179,52.3678,2175
Treant Protector,0.4063,52.3115,1579
Shadow Shaman,0.3768,49.2039,4648
Earthshaker,0.3712,51.5471,8435
Lion,0.349,54.738,4390
Shadow Demon,0.2792,56.2895,1105
Venomancer,0.2321,50.3887,4759
Doom,0.2108,56.5085,1644
Abaddon,0.0986,48.2572,1664
Luna,0.064,50.8877,3999
Timbersaw,0.0285,55.8267,2540
Terrorblade,0.0122,53.1779,1888
Queen of Pain,0.0031,57.8443,3238
Lone Druid,-0.1466,62.0901,976
Razor,-0.2055,55.3155,1759
Lifestealer,-0.2484,55.1626,3167
Pugna,-0.2725,53.689,2399
Disruptor,-0.2732,52.1335,2695
Sven,-0.2768,49.3181,6306
Ancient Apparition,-0.2976,49.6659,2245
Dark Seer,-0.2987,54.6502,1215
Jakiro,-0.3089,48.8543,2706
Slardar,-0.3755,51.1667,3514
Bloodseeker,-0.4082,48.7308,7958
Silencer,-0.4784,48.6358,4435
Templar Assassin,-0.5194,56.0779,2361
Enchantress,-0.5232,57.1845,1371
Omniknight,-0.5949,47.1309,2283
Undying,-0.6176,50.1538,1625
Keeper of the Light,-0.6484,52.937,2843
Centaur Warrunner,-0.6724,46.5759,2205
Tidehunter,-0.6898,50.8126,2338
Phoenix,-0.7103,51.8759,1386
Bounty Hunter,-0.7337,52.5482,3473
Huskar,-0.8106,53.242,3285
Tusk,-0.825,58.5155,1738
Magnus,-0.8303,56.7075,3019
Storm Spirit,-0.8346,53.4225,3287
Alchemist,-0.8358,56.7488,2719
Shadow Fiend,-0.84,53.324,5761
Nature's Prophet,-0.8421,57.9599,3549
Arc Warden,-0.8787,55.8098,1136
Juggernaut,-0.8862,53.245,6949
Medusa,-0.8903,54.7069,2252
Phantom Assassin,-0.9606,47.6419,9351
Riki,-0.9999,46.6849,5098
Anti-Mage,-1.039,51.7108,6985
Underlord,-1.0799,45.0036,1371
Slark,-1.1231,53.168,5003
Mirana,-1.1749,50.0428,5837
Spirit Breaker,-1.2305,45.3101,5917
Viper,-1.2721,49.9257,5390
Naga Siren,-1.3081,56.8983,935
Monkey King,-1.3176,53.4546,5167
Morphling,-1.4936,54.5099,2561
Chen,-1.537,58.0935,556
Batrider,-1.543,57.5205,1097
Oracle,-1.6464,58.5714,910
Earth Spirit,-1.6544,58.0763,1362
Drow Ranger,-1.7212,49.1312,4144
Beastmaster,-1.8481,55.7317,820
Sniper,-2.0129,49.138,9687
Lina,-2.0377,54.6029,3954
Ursa,-2.0493,46.5975,3571
Kunkka,-2.0733,52.1039,4848
Bristleback,-2.1171,51.3736,4732
Lich,-2.1203,46.2851,3163
Weaver,-2.2468,48.9667,4307
Io,-2.3155,62.7283,821
Ember Spirit,-2.3965,53.5677,2901
Legion Commander,-2.4281,51.4167,7235
Clinkz,-2.4463,50.4672,3210
Lycan,-2.7577,51.8545,1348
Gyrocopter,-2.8288,52.7298,1392
Broodmother,-3.3153,57.5968,1290
