Shadow Demon,3.027,58.4479,2835
Pudge,2.5556,51.5588,34929
Enigma,2.3389,52.4115,6531
Winter Wyvern,2.1961,53.7208,4112
Undying,2.1687,51.8789,4098
Lich,2.0979,49.1789,8099
Warlock,2.0894,50.9753,4255
Omniknight,1.9076,48.3118,6605
Ancient Apparition,1.7647,50.6205,5640
Visage,1.6918,53.6699,2139
Lifestealer,1.6851,56.3832,9478
Sniper,1.4943,51.1719,35367
Juggernaut,1.4632,54.5655,22210
Tusk,1.3731,60.3363,4876
Ursa,1.3641,48.6445,11841
Batrider,1.3482,60.0639,3125
Abaddon,1.2453,48.118,4437
Witch Doctor,1.2064,52.1947,7290
Phoenix,1.1507,52.7707,3555
Chaos Knight,1.1501,47.1481,8889
Razor,1.1188,55.9777,5211
Death Prophet,1.0797,55.9659,4928
Kunkka,1.0294,54.2437,12807
Jakiro,1.0123,48.9548,6841
Chen,0.9954,60.2613,1301
Elder Titan,0.9781,50.9358,2511
Brewmaster,0.9708,51.4724,2343
Sven,0.9661,49.2965,19902
Viper,0.9348,50.9391,17835
Monkey King,0.9258,54.7906,16459
Huskar,0.9138,54.1151,11409
Invoker,0.9086,54.1224,33415
Gyrocopter,0.8797,55.8024,4050
Pugna,0.7604,53.8522,6334
Lina,0.6398,56.5594,11754
Skywrath Mage,0.5748,50.7233,7673
Crystal Maiden,0.5656,46.978,13683
Clockwerk,0.5548,50.4026,5837
Tiny,0.5495,55.4431,8800
Spirit Breaker,0.5451,45.5258,18730
Magnus,0.5277,57.4489,8122
Arc Warden,0.503,56.5909,3080
Vengeful Spirit,0.458,49.1129,7271
Ogre Magi,0.3553,49.3772,10920
Windranger,0.307,51.933,18882
Necrophos,0.3069,45.0037,25069
Phantom Assassin,0.3066,47.5667,33721
Dark Seer,0.2805,54.4287,3116
Morphling,0.2698,55.5482,7606
Tinker,0.2627,54.2508,10645
Wraith King,0.1966,45.0871,14228
Lion,0.1489,53.6792,12951
Centaur Warrunner,0.1412,45.9702,5782
Io,0.0856,65.2003,2296
Queen of Pain,0.0631,57.3375,9908
Lycan,0.0302,53.8619,3884
Spectre,-0.0413,43.6657,9946
Clinkz,-0.0444,51.846,11484
Leshrac,-0.0521,55.3699,2514
Enchantress,-0.1296,57.0279,3977
Venomancer,-0.1308,48.8526,13248
Meepo,-0.2242,55.3204,4821
Outworld Devourer,-0.2725,52.9404,7737
Lone Druid,-0.2863,61.8535,2881
Oracle,-0.3703,59.4471,2424
Bristleback,-0.4102,52.0658,14812
Sand King,-0.4102,51.823,10806
Disruptor,-0.4236,50.9775,6803
Dazzle,-0.445,50.4543,5942
Storm Spirit,-0.5001,52.8893,9639
Puck,-0.5041,58.0626,7082
Earthshaker,-0.5163,49.6145,23092
Templar Assassin,-0.518,55.4525,7226
Doom,-0.5347,55.0672,4687
Mirana,-0.5437,49.508,17989
Nyx Assassin,-0.5991,50.8482,9019
Underlord,-0.6094,43.9351,3578
Rubick,-0.6116,54.6586,10604
Treant Protector,-0.6441,50.1903,4202
Bane,-0.7143,53.8884,3639
Tidehunter,-0.7374,49.6939,5554
Shadow Fiend,-0.7578,52.5197,18494
Timbersaw,-0.9069,54.1154,7654
Nature's Prophet,-0.9221,57.3617,10507
Keeper of the Light,-0.9846,51.6682,7403
Zeus,-1.003,43.3527,11817
Silencer,-1.0139,46.8092,11173
Shadow Shaman,-1.0371,46.5085,12989
Medusa,-1.04,53.7752,6397
Phantom Lancer,-1.0945,48.9043,9948
Terrorblade,-1.1883,50.9973,5314
Slark,-1.1928,52.1913,16451
Axe,-1.1965,47.2376,19313
Legion Commander,-1.2068,51.5998,24659
Bounty Hunter,-1.2206,51.1089,12579
Ember Spirit,-1.3892,53.8148,8113
Night Stalker,-1.4326,50.1706,6446
Luna,-1.448,48.2686,11985
Techies,-1.5091,51.2189,4020
Troll Warlord,-1.5274,46.8572,15289
Dragon Knight,-1.6058,49.4544,7516
Anti-Mage,-1.657,50.1066,22508
Beastmaster,-1.7331,55.174,2068
Slardar,-1.7582,48.6806,12999
Naga Siren,-1.9172,55.6997,2465
Riki,-1.9675,44.337,17800
Broodmother,-2.1589,58.3901,3665
Drow Ranger,-2.2764,47.3882,13784
Bloodseeker,-2.4936,45.5485,27452
Earth Spirit,-2.7615,56.4276,3695
Alchemist,-2.7808,54.1651,8271
Faceless Void,-4.4822,47.1566,16600
