Ursa,2.7809,48.2926,15814
Omniknight,2.6848,47.2858,8732
Huskar,2.1515,53.8398,15925
Batrider,2.0497,59.4268,3978
Troll Warlord,1.9529,48.5522,21655
Sven,1.7522,48.3164,26848
Vengeful Spirit,1.4785,48.4264,9596
Lifestealer,1.4408,54.6181,12386
Lycan,1.2379,53.5524,4898
Anti-Mage,1.2169,51.2303,31577
Undying,1.2113,49.1944,5462
Witch Doctor,1.1894,50.5158,10274
Meepo,1.1881,55.3846,6955
Enchantress,1.1522,57.0302,5327
Ancient Apparition,1.0857,48.1415,7910
Outworld Devourer,1.0831,52.7769,9921
Lich,1.0717,46.2661,11985
Necrophos,1.0037,43.7204,36555
Slark,1.0027,52.8275,22316
Shadow Fiend,0.9782,52.6469,25690
Jakiro,0.911,47.0428,9553
Enigma,0.8514,49.1834,9001
Abaddon,0.7648,45.8112,5479
Viper,0.7171,49.0303,22947
Terrorblade,0.5666,51.1933,6536
Invoker,0.5561,52.2462,50283
Pudge,0.5364,48.0313,50136
Monkey King,0.4859,52.8506,23398
Templar Assassin,0.4831,54.9775,9342
Venomancer,0.4481,47.681,16753
Death Prophet,0.4351,53.8019,6615
Elder Titan,0.3256,48.5608,3231
Drow Ranger,0.2946,48.2264,17592
Wraith King,0.2528,43.1982,19936
Disruptor,0.2173,49.9688,9632
Juggernaut,0.2122,51.8178,30146
Legion Commander,0.1863,51.3234,33172
Skywrath Mage,0.1632,48.5752,11125
Spirit Breaker,0.1589,43.1945,26376
Crystal Maiden,0.1452,44.6425,20420
Bounty Hunter,0.1013,50.8246,14127
Dark Seer,0.0585,52.6699,4120
Sand King,0.0086,50.6191,14536
Slardar,0.006,48.7808,13575
Kunkka,0.0015,51.6509,18323
Shadow Shaman,-0.0065,45.6911,18369
Sniper,-0.0142,48.0983,46906
Dazzle,-0.016,49.215,8727
Riki,-0.0352,44.362,23466
Night Stalker,-0.0365,49.9278,8320
Underlord,-0.0371,42.5914,4731
Ogre Magi,-0.0563,47.1922,15653
Rubick,-0.0641,53.7594,14989
Lina,-0.0937,54.4001,17022
Timbersaw,-0.1,53.4773,10511
Bloodseeker,-0.1617,45.8984,37376
Techies,-0.1694,50.986,5527
Tiny,-0.17,53.2087,12201
Chen,-0.1707,57.6596,1769
Clinkz,-0.2263,50.0286,15707
Winter Wyvern,-0.2276,49.592,5638
Luna,-0.2417,47.7207,15597
Warlock,-0.2512,46.7707,5574
Beastmaster,-0.261,55.2621,2613
Leshrac,-0.2668,53.6277,3170
Visage,-0.267,50.0,3022
Weaver,-0.2698,48.014,19109
Phantom Assassin,-0.2999,45.169,46999
Phoenix,-0.3513,49.5726,4914
Treant Protector,-0.3723,48.7731,5950
Alchemist,-0.3785,55.1907,11270
Morphling,-0.3903,53.3991,10429
Magnus,-0.4007,55.0923,11203
Lion,-0.4035,51.6009,18395
Tidehunter,-0.4345,48.2665,7413
Nature's Prophet,-0.4423,56.5826,15784
Tinker,-0.4717,51.9918,15689
Medusa,-0.4799,52.8114,7843
Oracle,-0.5401,58.0328,3467
Storm Spirit,-0.5479,51.2516,13342
Puck,-0.567,56.6519,9982
Zeus,-0.5712,41.827,16310
Brewmaster,-0.5788,48.1432,3016
Chaos Knight,-0.5841,43.5199,12006
Faceless Void,-0.6051,49.3084,21256
Silencer,-0.6253,45.3765,14913
Earthshaker,-0.6454,47.7929,32306
Phantom Lancer,-0.6848,47.597,12755
Clockwerk,-0.7003,47.3395,8025
Bane,-0.7708,52.3652,5454
Doom,-0.863,53.2526,6364
Shadow Demon,-0.8637,52.8507,3771
Nyx Assassin,-1.0185,48.7335,11686
Earth Spirit,-1.0347,56.8952,5308
Lone Druid,-1.0484,59.778,3784
Pugna,-1.1212,50.3173,8824
Dragon Knight,-1.1898,48.1936,9605
Mirana,-1.2297,47.1137,24755
Ember Spirit,-1.2448,52.4045,10896
Keeper of the Light,-1.3279,49.6761,10500
Queen of Pain,-1.6317,54.2139,13740
Axe,-1.6362,45.0093,25177
Gyrocopter,-1.6597,51.5164,4781
Naga Siren,-1.8078,54.277,2981
Io,-1.808,62.1697,3217
Arc Warden,-1.8826,52.6128,4497
Razor,-1.8954,51.2219,5974
Spectre,-2.0131,39.7137,12784
Bristleback,-2.2548,48.5872,20421
Tusk,-2.7834,54.5873,6300
Centaur Warrunner,-2.8995,40.8393,7816
Broodmother,-3.0714,56.1906,5161
