Underlord,2.6242,46.601,2236
Clockwerk,1.9542,50.8867,3665
Spectre,1.9313,45.0294,5945
Tiny,1.8736,55.5946,5112
Centaur Warrunner,1.8464,46.9827,3480
Axe,1.5939,49.086,11270
Sand King,1.4152,52.6168,6420
Abaddon,1.4061,47.499,2539
Io,1.3794,65.0031,1583
Spirit Breaker,1.337,45.6086,10737
Templar Assassin,1.1682,55.9153,4015
Meepo,1.1481,55.5634,2804
Treant Protector,1.1276,51.0655,2534
Chaos Knight,1.0938,46.3765,5216
Disruptor,1.0775,51.5138,4492
Legion Commander,1.0352,52.6734,13578
Phoenix,0.9832,51.6279,2365
Crystal Maiden,0.9269,46.5905,9459
Tusk,0.9235,58.5192,2958
Queen of Pain,0.8777,56.9011,5673
Enigma,0.8036,49.9108,3925
Timbersaw,0.8013,54.7321,4480
Slardar,0.7959,50.3273,5957
Pudge,0.781,49.0997,21271
Outworld Devourer,0.7111,52.8916,4513
Skywrath Mage,0.7081,49.9346,4594
Zeus,0.5716,44.3053,7191
Viper,0.5195,49.6265,10041
Dazzle,0.4985,50.4746,3792
Tidehunter,0.4865,49.9867,3785
Gyrocopter,0.484,54.1778,2226
Rubick,0.4799,54.6488,7561
Luna,0.4689,49.273,7016
Troll Warlord,0.4674,48.0129,8656
Huskar,0.4581,52.5645,5888
Monkey King,0.4316,53.2212,9158
Lion,0.4171,52.9035,8748
Shadow Shaman,0.391,47.1431,8576
Ogre Magi,0.3804,48.5408,7470
Silencer,0.3704,47.3795,7537
Elder Titan,0.2892,49.3209,1620
Razor,0.2847,53.9302,2837
Juggernaut,0.2686,52.3916,12962
Storm Spirit,0.2015,52.5245,5704
Ursa,0.1915,46.7029,6430
Bounty Hunter,0.1826,51.5016,5827
Venomancer,0.1818,48.3042,8138
Earthshaker,0.1791,49.3781,14715
Night Stalker,0.1111,50.7501,3799
Pugna,0.1052,52.1435,4012
Doom,0.096,54.5454,2761
Necrophos,0.0942,44.1515,14380
Vengeful Spirit,0.0906,47.8998,4595
Jakiro,0.0833,47.1639,4813
Visage,0.0769,51.0115,1384
Beastmaster,0.0758,55.842,1241
Nyx Assassin,0.0487,50.5267,5411
Dragon Knight,0.032,50.1873,4537
Bloodseeker,0.0058,47.0649,14497
Wraith King,-0.0086,44.2506,8314
Slark,-0.0213,52.3016,9124
Sven,-0.0287,47.5151,11409
Shadow Fiend,-0.0311,52.1668,10476
Lycan,-0.0368,52.6728,2170
Invoker,-0.1152,52.1745,19659
Undying,-0.13,48.6163,2674
Kunkka,-0.1638,52.0116,8252
Alchemist,-0.241,55.5166,4849
Dark Seer,-0.2732,52.7704,1895
Lina,-0.2802,54.458,7178
Lich,-0.296,45.9581,5777
Arc Warden,-0.3274,54.5218,1924
Naga Siren,-0.3446,56.0447,1431
Oracle,-0.3714,58.1151,1528
Anti-Mage,-0.5054,50.2438,12507
Lifestealer,-0.5285,53.0038,5443
Medusa,-0.6239,53.0867,3677
Ember Spirit,-0.6627,53.394,4832
Keeper of the Light,-0.7438,50.8998,4723
Death Prophet,-0.8398,52.8797,3160
Earth Spirit,-0.8505,57.1428,2520
Chen,-0.8521,56.9892,837
Mirana,-0.8995,48.2933,10430
Leshrac,-0.9046,53.3542,1595
Phantom Lancer,-0.9091,48.2152,5351
Phantom Assassin,-0.9675,45.6172,18276
Terrorblade,-0.9874,50.2193,2963
Enchantress,-0.9893,54.8994,2337
Lone Druid,-1.0585,59.4645,1606
Bristleback,-1.1032,50.3934,8896
Shadow Demon,-1.1964,52.9217,1814
Tinker,-1.2224,51.7105,6080
Sniper,-1.236,47.8352,18409
Windranger,-1.2396,49.4841,10274
Puck,-1.2396,56.0211,4152
Faceless Void,-1.2962,49.3461,9253
Weaver,-1.3074,47.8484,7390
Morphling,-1.3164,52.8089,4539
Omniknight,-1.3352,44.273,3824
Bane,-1.3423,52.159,2339
Ancient Apparition,-1.3901,46.5134,3872
Warlock,-1.4538,46.4703,2819
Magnus,-1.52,54.1918,4962
Riki,-1.5227,44.0905,9231
Drow Ranger,-1.6998,47.1194,7273
Brewmaster,-1.7807,47.7175,1402
Clinkz,-1.9532,48.9738,5993
Broodmother,-2.2105,56.9451,2095
Nature's Prophet,-2.2622,54.7778,6415
Techies,-2.5145,49.1689,2166
Batrider,-2.7862,54.4633,1882
Winter Wyvern,-3.2747,47.1922,2689
