Zeus,2.7,52.0046,203082
Spectre,2.2886,51.0706,149250
Bloodseeker,2.2289,55.0628,438067
Axe,1.7575,55.418,329512
Centaur Warrunner,1.6878,52.9511,86323
Skywrath Mage,1.625,57.0085,115430
Legion Commander,1.5852,59.5655,401573
Techies,1.5423,59.772,68793
Spirit Breaker,1.5259,51.8133,299867
Pudge,1.5177,55.7811,526499
Silencer,1.445,54.5152,162538
Sven,1.3901,54.6822,359638
Huskar,1.1433,59.8395,179953
Tinker,1.1002,60.5706,152853
Clinkz,1.0263,58.2506,176623
Luna,0.865,55.7924,187986
Drow Ranger,0.8192,55.7731,204690
Queen of Pain,0.817,63.4347,131934
Gyrocopter,0.7986,60.8436,58532
Puck,0.716,64.7919,94237
Necrophos,0.7114,50.4191,363832
Elder Titan,0.6647,55.8841,37567
Ursa,0.6332,53.3964,179261
Ember Spirit,0.6301,61.0826,111783
Shadow Fiend,0.5994,59.2419,279064
Tiny,0.5482,61.0043,133207
Enigma,0.5144,55.895,93477
Storm Spirit,0.3544,59.0389,129230
Disruptor,0.3255,57.1839,87000
Clockwerk,0.3164,55.5639,82109
Earthshaker,0.2856,55.5954,311657
Venomancer,0.2686,54.4052,169708
Ancient Apparition,0.2549,54.3924,79421
Phantom Assassin,0.2143,52.8433,573945
Kunkka,0.2049,58.7712,179797
Doom,0.1255,61.0644,74251
Night Stalker,0.0489,56.9038,85727
Viper,0.0076,55.2792,282495
Dragon Knight,-0.0152,56.5586,134655
Pugna,-0.0441,58.2945,93441
Vengeful Spirit,-0.1139,53.6773,106831
Lich,-0.1255,51.9992,126575
Bounty Hunter,-0.1325,57.2236,152257
Leshrac,-0.1522,60.6908,35320
Magnus,-0.1528,61.9536,111372
Lina,-0.2368,61.0851,166178
Sniper,-0.2678,54.9318,551738
Windranger,-0.2696,56.8158,269476
Mirana,-0.3267,55.0179,258661
Death Prophet,-0.405,59.9727,79918
Slardar,-0.4416,55.1706,155416
Arc Warden,-0.4523,60.5573,45788
Razor,-0.4532,59.8018,73874
Abaddon,-0.4643,51.3965,69240
Enchantress,-0.5319,62.1233,58804
Shadow Shaman,-0.624,51.9498,195735
Bane,-0.6771,59.8478,46797
Weaver,-0.7036,54.6577,190500
Timbersaw,-0.7293,59.5672,108563
Faceless Void,-0.7598,56.2271,210313
Templar Assassin,-0.8876,60.4628,104565
Batrider,-0.8965,62.9649,38658
Ogre Magi,-0.9113,53.4023,156862
Troll Warlord,-0.92,53.0174,226450
Bristleback,-0.9519,56.9006,246932
Warlock,-0.969,52.9421,60857
Lifestealer,-0.9776,58.9618,145282
Crystal Maiden,-0.9981,50.9132,189595
Visage,-1.0012,55.6624,29934
Tusk,-1.0155,63.2487,70120
Jakiro,-1.0703,51.8607,107083
Witch Doctor,-1.0777,55.2321,113490
Winter Wyvern,-1.0994,55.6503,59457
Lycan,-1.1204,57.9124,53719
Sand King,-1.1236,56.2573,146612
Juggernaut,-1.1286,57.4359,364676
Brewmaster,-1.1328,54.8605,34914
Earth Spirit,-1.17,62.9855,51107
Riki,-1.1732,50.3557,267888
Phoenix,-1.2313,55.7991,51370
Monkey King,-1.4503,57.7705,246586
Underlord,-1.562,48.3464,52190
Alchemist,-1.585,61.1203,121125
Slark,-1.6011,57.2489,236034
Medusa,-1.6447,58.7948,87705
Nyx Assassin,-1.6771,55.0513,126569
Morphling,-1.7512,58.3943,98102
Chen,-1.8349,62.3345,17605
Treant Protector,-1.853,54.1289,60729
Undying,-1.8918,52.9887,59556
Nature's Prophet,-1.8931,61.582,138076
Omniknight,-1.9694,49.757,93034
Dazzle,-1.9908,54.2275,81809
Beastmaster,-2.0023,60.0841,29229
Tidehunter,-2.0976,53.6751,86077
Lion,-2.1099,56.9229,208048
Chaos Knight,-2.1743,48.6961,148938
Naga Siren,-2.2734,60.5697,35417
Oracle,-2.3996,62.9926,32353
Outworld Devourer,-2.4067,56.1163,117677
Dark Seer,-2.4508,56.9635,40468
Shadow Demon,-2.4911,58.1944,37562
Rubick,-2.5611,58.1031,140235
Terrorblade,-2.5707,54.6154,75605
Lone Druid,-2.5736,65.1866,37928
Meepo,-3.0203,58.1634,69499
Io,-3.2737,67.1236,31947
Broodmother,-3.6448,61.8445,49390
Invoker,-3.7064,55.1336,463307
Keeper of the Light,-4.4486,53.4447,113912
Anti-Mage,-4.9704,52.4268,436700
Phantom Lancer,-7.5597,47.4387,223950
