Sand King,2.557,60.6488,147180
Terrorblade,2.0827,60.0724,68970
Mirana,1.9485,57.9189,275231
Crystal Maiden,1.9327,54.5164,173808
Axe,1.7857,56.0719,274449
Necrophos,1.7217,52.1068,385212
Shadow Fiend,1.5566,60.7817,257235
Tinker,1.5027,61.6831,165400
Earthshaker,1.1766,57.1228,326766
Weaver,1.0869,57.0909,171847
Enigma,1.0578,57.0705,80164
Riki,0.9367,53.1426,283040
Venomancer,0.9303,55.7773,191368
Phantom Lancer,0.9262,56.6406,134453
Windranger,0.9166,58.5982,245183
Slardar,0.9076,57.1756,143157
Underlord,0.8367,51.5321,52835
Timbersaw,0.8128,61.733,98265
Ancient Apparition,0.7747,55.6006,79339
Winter Wyvern,0.7632,58.2234,55512
Morphling,0.7361,61.5633,91920
Vengeful Spirit,0.7112,55.184,98166
Bloodseeker,0.706,54.2642,356994
Monkey King,0.7021,60.5213,239162
Outworld Devourer,0.632,59.8116,100997
Naga Siren,0.6221,64.1245,30854
Disruptor,0.6047,58.1428,88219
Lich,0.5642,53.386,123019
Luna,0.5232,56.0876,169984
Shadow Demon,0.4351,61.9309,37939
Jakiro,0.3612,54.014,106052
Bounty Hunter,0.2445,58.2837,155697
Troll Warlord,0.1424,54.7083,188560
Sniper,0.1311,55.9517,530078
Dark Seer,0.1288,60.299,38518
Spirit Breaker,0.115,51.1237,262422
Gyrocopter,0.0996,60.6634,51311
Faceless Void,0.0365,57.6459,191736
Drow Ranger,0.0093,55.5942,180506
Omniknight,-0.0764,52.3941,85687
Nature's Prophet,-0.1396,63.9814,133573
Centaur Warrunner,-0.1747,51.7029,81974
Abaddon,-0.1764,52.382,62970
Clockwerk,-0.206,55.7228,89308
Kunkka,-0.2468,58.9673,177137
Leshrac,-0.2484,61.1852,32753
Magnus,-0.2841,62.4285,105982
Slark,-0.2934,59.1285,205921
Witch Doctor,-0.2951,56.6856,107080
Ogre Magi,-0.2995,54.6928,152221
Bane,-0.3636,60.7666,42887
Phantom Assassin,-0.3752,52.942,488710
Pugna,-0.3829,58.7497,114838
Beastmaster,-0.3935,62.3371,26323
Lina,-0.4129,61.5425,163131
Nyx Assassin,-0.4595,57.0128,138753
Puck,-0.4968,64.1733,92529
Elder Titan,-0.5007,55.3088,35045
Shadow Shaman,-0.5189,52.7422,191867
Undying,-0.5317,55.0652,54795
Tiny,-0.551,60.4339,117209
Medusa,-0.5718,60.5163,82120
Brewmaster,-0.6204,56.0334,31367
Dragon Knight,-0.6248,56.5167,113446
Keeper of the Light,-0.6532,57.9385,94400
Dazzle,-0.6548,56.2564,77024
Queen of Pain,-0.673,62.5555,130655
Tidehunter,-0.6798,55.8235,85978
Legion Commander,-0.7273,57.9637,332094
Night Stalker,-0.7359,56.7289,80079
Skywrath Mage,-0.7539,55.2201,109375
Arc Warden,-0.8412,60.7705,43577
Spectre,-0.8798,48.5542,145283
Sven,-0.9079,53.0896,287182
Phoenix,-0.9232,56.8005,52378
Warlock,-0.9656,53.6154,58429
Lion,-0.9786,58.6107,173197
Silencer,-1.0836,52.6686,177713
Chaos Knight,-1.0974,50.4936,129947
Invoker,-1.1271,58.1336,468161
Razor,-1.1576,59.6423,66275
Earth Spirit,-1.2196,63.6901,55726
Doom,-1.2237,60.2043,65374
Treant Protector,-1.2802,55.392,59180
Enchantress,-1.3143,61.9036,55588
Ursa,-1.316,52.0811,147203
Tusk,-1.3731,63.4249,63896
Bristleback,-1.3967,57.0329,207559
Lone Druid,-1.4514,66.8473,33943
Techies,-1.5399,57.2193,70069
Batrider,-1.6411,62.8176,37663
Rubick,-1.6901,59.7136,157418
Clinkz,-1.6947,56.1042,161191
Alchemist,-1.725,61.467,101425
Ember Spirit,-1.847,59.2207,114389
Pudge,-1.9236,53.3955,509471
Death Prophet,-1.9609,58.9278,72845
Visage,-2.0814,55.1855,29042
Viper,-2.1557,53.8201,265655
Oracle,-2.2188,63.8476,32399
Wraith King,-2.7214,47.9953,203082
Storm Spirit,-2.82,56.4517,125346
Broodmother,-2.9876,63.1444,47423
Io,-3.0133,67.8346,28254
Juggernaut,-3.1021,56.1447,318411
Templar Assassin,-3.2266,58.6415,95816
Lycan,-3.298,56.21,46481
Chen,-3.3312,61.3698,16834
Meepo,-4.0632,57.713,66342
Lifestealer,-4.2663,56.1746,125870
Anti-Mage,-5.4619,52.451,322394
Huskar,-6.1381,53.0392,155811
